iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.000000,0.000000,0.000000,0,404913,-10.881541,0.535268,0.380033,0.380033,0.280536,753.142067,4747.821533,nan,127.551301
1,150,1228800,0.000000,0.000000,0.000000,0,405175,-7.257369,0.535268,0.380033,0.380033,0.280536,750.999733,4767.495200,nan,128.451797
2,225,1843200,0.000000,0.000000,0.000000,0,408287,-6.930990,0.535268,0.380033,0.380033,0.280536,752.887533,5468.396667,nan,134.025173
3,300,2457600,0.000000,0.000000,0.000000,0,407233,-7.048838,0.535268,0.380033,0.380033,0.280536,753.613933,5944.685167,nan,121.138897
4,375,3072000,0.000000,0.000000,0.000000,0,408076,-6.372200,0.535268,0.380033,0.380033,0.280536,752.656867,3982.854333,nan,107.470357
5,450,3686400,0.000000,0.000000,0.000000,0,409812,-6.884187,0.535268,0.380033,0.380033,0.280536,767.662000,7782.409933,nan,110.337179
6,525,4300800,0.000000,0.000000,0.000000,0,406880,-7.329160,0.535268,0.380033,0.380033,0.280536,753.425600,6202.963933,nan,109.351351
7,600,4915200,0.000000,0.000000,0.000000,0,409511,-7.575289,0.535268,0.380033,0.380033,0.280536,768.591600,7755.880267,nan,111.522583
