iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.000000,0.000000,0.000000,0,454374,-13.561994,0.548942,0.386454,0.386454,-0.162753,1091.436267,5725.741700,nan,159.871091
1,150,1228800,0.000000,0.000000,0.000000,0,455230,-8.850753,0.548942,0.386454,0.386454,-0.162753,924.352000,5385.894367,nan,161.013026
2,225,1843200,0.000000,0.000000,0.000000,0,453989,-7.644064,0.548942,0.386454,0.386454,-0.162753,927.428133,4945.141467,nan,154.641548
3,300,2457600,0.000000,0.000000,0.000000,0,455906,-6.779908,0.548942,0.386454,0.386454,-0.162753,926.134000,4695.002067,nan,156.987113
4,375,3072000,0.000000,0.000000,0.000000,0,456232,-6.946841,0.548942,0.386454,0.386454,-0.162753,948.749867,7600.491033,nan,163.193687
5,450,3686400,0.000000,0.000000,0.000000,0,456266,-7.638095,0.548942,0.386454,0.386454,-0.162753,926.937000,5325.576200,nan,165.459192
6,525,4300800,0.000000,0.000000,0.000000,0,455661,-7.137543,0.548942,0.386454,0.386454,-0.162753,926.052067,6189.638733,nan,157.279803
7,600,4915200,0.000000,0.000000,0.000000,0,456150,-7.416917,0.548942,0.386454,0.386454,-0.162753,930.710400,4710.382167,nan,157.794339
