beta,seed,method,iter,cum_overrides,n_reviews,n_overrides,override_rate,reviewed_fraction,sign_acc_nonzero,pearson_r,exact_class_acc,alone_twt
1.0,303,m2t,7,3701,6560,442,0.0674,0.2442,0.6025,0.2917,0.3732,2789.0304
1.0,303,m2a,0,557,6643,557,0.0838,0.2483,0.7202,0.4483,0.3741,2847.2914
1.0,303,m2a,1,950,6391,393,0.0615,0.2377,0.6682,0.3225,0.3746,2987.0874
1.0,303,m2a,2,1489,6652,539,0.0810,0.2468,0.6452,0.3684,0.3746,2882.5847
1.0,303,m2a,3,1914,6537,425,0.0650,0.2439,0.6955,0.3705,0.3746,2815.4018
1.0,303,m2a,4,2356,6527,442,0.0677,0.2429,0.7034,0.3738,0.3746,2836.0139
1.0,303,m2a,5,2787,6533,431,0.0660,0.2434,0.6935,0.3737,0.3746,2830.6399
1.0,303,m2a,6,3227,6530,440,0.0674,0.2431,0.6877,0.3702,0.3746,2829.5323
1.0,303,m2a,7,3658,6535,431,0.0660,0.2433,0.6854,0.3687,0.3746,2831.8509
1.0,301,m0,0,611,6677,611,0.0915,,0.6909,0.5019,0.3714,2149.9982
1.0,301,m0,1,816,6628,205,0.0309,,0.7001,0.5586,0.3780,2077.4204
1.0,301,m0,2,957,6564,141,0.0215,,0.7816,0.5232,0.3734,1944.2083
1.0,301,m0,3,1081,6571,124,0.0189,,0.6133,0.4528,0.3741,1980.2411
1.0,301,m0,4,1227,6589,146,0.0222,,0.6178,0.4026,0.3693,1984.9675
1.0,301,m0,5,1400,6671,173,0.0259,,0.7868,0.4520,0.3713,1857.0926
1.0,301,m0,6,1504,6624,104,0.0157,,0.7586,0.4269,0.3683,1960.8491
1.0,301,m0,7,1642,6617,138,0.0209,,0.5657,0.3228,0.3673,1997.6933
1.0,301,m2t,0,609,6677,609,0.0912,0.2496,0.6979,0.3531,0.3654,2751.2936
1.0,301,m2t,1,1052,6491,443,0.0682,0.2410,0.5808,0.3188,0.3728,2869.5688
1.0,301,m2t,2,1470,6482,418,0.0645,0.2417,0.6146,0.2788,0.3736,2793.5295
1.0,301,m2t,3,1957,6586,487,0.0739,0.2449,0.5838,0.2842,0.3745,2847.3562
1.0,301,m2t,4,2382,6569,425,0.0647,0.2449,0.6112,0.2923,0.3742,2803.9725
1.0,301,m2t,5,2813,6573,431,0.0656,0.2445,0.6047,0.2962,0.3741,2795.9678
1.0,301,m2t,6,3259,6566,446,0.0679,0.2443,0.6015,0.2934,0.3736,2788.9138
1.0,301,m2t,7,3701,6560,442,0.0674,0.2442,0.6025,0.2917,0.3732,2789.0304
1.0,301,m2a,0,557,6643,557,0.0838,0.2483,0.7202,0.4483,0.3741,2847.2914
1.0,301,m2a,1,950,6391,393,0.0615,0.2377,0.6682,0.3225,0.3746,2987.5807
1.0,301,m2a,2,1491,6649,541,0.0814,0.2467,0.6565,0.3702,0.3746,2899.4343
1.0,301,m2a,3,1925,6545,434,0.0663,0.2441,0.6850,0.3656,0.3746,2815.5148
1.0,301,m2a,4,2379,6541,454,0.0694,0.2434,0.6795,0.3741,0.3746,2842.2254
1.0,301,m2a,5,2807,6537,428,0.0655,0.2432,0.6839,0.3700,0.3746,2834.0038
1.0,301,m2a,6,3274,6539,467,0.0714,0.2433,0.6730,0.3712,0.3746,2829.5746
1.0,301,m2a,7,3706,6530,432,0.0662,0.2429,0.6719,0.3705,0.3746,2829.6566
1.0,302,m0,0,616,6664,616,0.0924,,0.6342,0.5091,0.3820,2149.5368
1.0,302,m0,1,821,6638,205,0.0309,,0.6963,0.4847,0.3689,2083.0673
1.0,302,m0,2,968,6623,147,0.0222,,0.6535,0.4729,0.3696,2200.3908
1.0,302,m0,3,1148,6609,180,0.0272,,0.6268,0.4063,0.3717,2009.1512
1.0,302,m0,4,1314,6643,166,0.0250,,0.6551,0.4469,0.3689,1887.5508
1.0,302,m0,5,1458,6645,144,0.0217,,0.7646,0.3969,0.3693,2139.7400
1.0,302,m0,6,1679,6636,221,0.0333,,0.5925,0.4453,0.3737,1895.5842
1.0,302,m0,7,1800,6631,121,0.0182,,0.7312,0.3893,0.3703,2000.6390
1.0,302,m2t,0,609,6677,609,0.0912,0.2496,0.6979,0.3531,0.3654,2751.2936
1.0,302,m2t,1,1052,6491,443,0.0682,0.2410,0.5808,0.3188,0.3728,2869.5688
1.0,302,m2t,2,1470,6482,418,0.0645,0.2417,0.6146,0.2788,0.3736,2793.5295
1.0,302,m2t,3,1957,6586,487,0.0739,0.2449,0.5838,0.2842,0.3745,2847.3562
1.0,302,m2t,4,2382,6569,425,0.0647,0.2449,0.6112,0.2923,0.3742,2803.9725
1.0,302,m2t,5,2813,6573,431,0.0656,0.2445,0.6047,0.2962,0.3741,2795.9678
1.0,302,m2t,6,3259,6566,446,0.0679,0.2443,0.6015,0.2934,0.3736,2788.9138
1.0,302,m2t,7,3701,6560,442,0.0674,0.2442,0.6025,0.2917,0.3732,2789.0304
1.0,302,m2a,0,557,6643,557,0.0838,0.2483,0.7202,0.4483,0.3741,2847.2914
1.0,302,m2a,1,950,6391,393,0.0615,0.2377,0.6682,0.3226,0.3746,2987.3956
1.0,302,m2a,2,1495,6653,545,0.0819,0.2469,0.6512,0.3709,0.3746,2849.8554
1.0,302,m2a,3,1928,6540,433,0.0662,0.2435,0.6592,0.3669,0.3746,2848.3222
1.0,302,m2a,4,2351,6558,423,0.0645,0.2441,0.6832,0.3705,0.3746,2808.6042
1.0,302,m2a,5,2791,6542,440,0.0673,0.2435,0.6648,0.3691,0.3746,2826.2822
1.0,302,m2a,6,3245,6542,454,0.0694,0.2434,0.6687,0.3738,0.3746,2836.4180
1.0,302,m2a,7,3674,6540,429,0.0656,0.2432,0.6604,0.3705,0.3746,2834.5405
1.0,305,m0,0,596,6678,596,0.0892,,0.6340,0.4942,0.3713,2255.7327
1.0,305,m0,1,880,6649,284,0.0427,,0.7551,0.5269,0.3708,2028.9968
1.0,305,m0,2,992,6511,112,0.0172,,0.7255,0.4450,0.3792,2059.2282
1.0,305,m0,3,1164,6600,172,0.0261,,0.6500,0.4432,0.3761,1841.0160
1.0,305,m0,4,1272,6629,108,0.0163,,0.7804,0.4639,0.3777,1804.7151
1.0,305,m0,5,1360,6631,88,0.0133,,0.7252,0.4225,0.3742,1814.0757
1.0,305,m0,6,1432,6593,72,0.0109,,0.5486,0.4040,0.3715,1916.1026
1.0,305,m0,7,1577,6656,145,0.0218,,0.7500,0.4023,0.3734,2038.2303
1.0,305,m2t,0,609,6677,609,0.0912,0.2496,0.6979,0.3531,0.3654,2751.2936
1.0,305,m2t,1,1052,6491,443,0.0682,0.2410,0.5808,0.3188,0.3728,2869.5688
1.0,305,m2t,2,1470,6482,418,0.0645,0.2417,0.6146,0.2788,0.3736,2793.5295
1.0,305,m2t,3,1957,6586,487,0.0739,0.2449,0.5838,0.2842,0.3745,2847.3562
1.0,305,m2t,4,2382,6569,425,0.0647,0.2449,0.6112,0.2923,0.3742,2803.9725
1.0,305,m2t,5,2813,6573,431,0.0656,0.2445,0.6047,0.2962,0.3741,2795.9678
1.0,305,m2t,6,3259,6566,446,0.0679,0.2443,0.6015,0.2934,0.3736,2788.9138
1.0,305,m2t,7,3701,6560,442,0.0674,0.2442,0.6025,0.2917,0.3732,2789.0304
1.0,305,m2a,0,557,6643,557,0.0838,0.2483,0.7202,0.4483,0.3741,2847.2914
1.0,305,m2a,1,950,6391,393,0.0615,0.2377,0.6682,0.3225,0.3746,2987.7932
1.0,305,m2a,2,1514,6649,564,0.0848,0.2467,0.6521,0.3719,0.3746,2888.8270
1.0,305,m2a,3,1968,6534,454,0.0695,0.2436,0.6797,0.3698,0.3746,2794.2688
1.0,305,m2a,4,2412,6521,444,0.0681,0.2427,0.6740,0.3704,0.3746,2831.2514
1.0,305,m2a,5,2844,6527,432,0.0662,0.2430,0.6620,0.3603,0.3746,2830.8513
1.0,305,m2a,6,3280,6547,436,0.0666,0.2435,0.6618,0.3645,0.3746,2826.2923
1.0,305,m2a,7,3708,6537,428,0.0655,0.2432,0.6617,0.3653,0.3746,2826.2962
0.75,302,m0,0,635,6674,635,0.0951,,0.5885,0.4718,0.3670,2402.3285
0.75,302,m0,1,1038,6682,403,0.0603,,0.7078,0.4887,0.3468,2351.0845
0.75,302,m0,2,1299,6603,261,0.0395,,0.7448,0.4786,0.3402,2002.0296
0.75,302,m0,3,1487,6615,188,0.0284,,0.7470,0.5054,0.3403,1965.0821
0.75,302,m0,4,1637,6589,150,0.0228,,0.7527,0.4771,0.3358,1951.1721
0.75,302,m0,5,1819,6590,182,0.0276,,0.6839,0.4224,0.3438,2207.9039
0.75,302,m0,6,2135,6663,316,0.0474,,0.6569,0.4238,0.3375,2052.9108
0.75,302,m0,7,2358,6633,223,0.0336,,0.6577,0.4521,0.3359,2140.6746
0.75,302,m2t,0,627,6686,627,0.0938,0.2499,0.6711,0.4273,0.3442,2800.4349
0.75,302,m2t,1,1038,6339,411,0.0648,0.2363,0.6488,0.3434,0.3443,2829.1466
0.75,302,m2t,2,1635,6623,597,0.0901,0.2467,0.6454,0.3789,0.3443,2898.5589
0.75,302,m2t,3,2150,6620,515,0.0778,0.2474,0.6697,0.3817,0.3443,2757.9000
0.75,302,m2t,4,2657,6581,507,0.0770,0.2453,0.6709,0.3891,0.3443,2779.5878
0.75,302,m2t,5,3201,6594,544,0.0825,0.2460,0.6763,0.3980,0.3443,2789.9871
0.75,302,m2t,6,3711,6581,510,0.0775,0.2458,0.6786,0.3943,0.3443,2782.1186
0.75,302,m2t,7,4222,6585,511,0.0776,0.2459,0.6717,0.3967,0.3443,2777.1998
0.75,302,m2a,0,610,6650,610,0.0917,0.2485,0.6643,0.4487,0.3443,2794.5253
0.75,302,m2a,1,1059,6441,449,0.0697,0.2402,0.6830,0.4286,0.3443,2896.6279
0.75,302,m2a,2,1610,6602,551,0.0835,0.2465,0.6925,0.4658,0.3443,2862.9525
0.75,302,m2a,3,2099,6580,489,0.0743,0.2458,0.6889,0.4562,0.3443,2835.1348
0.75,302,m2a,4,2633,6592,534,0.0810,0.2461,0.6864,0.4557,0.3443,2828.1498
0.75,302,m2a,5,3171,6589,538,0.0817,0.2460,0.6908,0.4524,0.3443,2815.2682
