beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,304,m2a,c09_storm2_w80_u100_0028.json,2083.722400,1357.147600,1360.514000,2021.848800,1316.495200
1.0,304,m2a,c09_storm2_w80_u100_0029.json,4540.255600,3766.909200,2163.431200,2328.602400,1226.778800
0.75,301,m0,c09_storm2_w80_u100_0020.json,1970.798400,1534.038800,1444.505600,1805.723200,1483.052800
0.75,301,m0,c09_storm2_w80_u100_0021.json,2264.009600,2034.950800,1928.176000,2217.445200,1971.832800
0.75,301,m0,c09_storm2_w80_u100_0022.json,1037.825200,980.913200,930.648400,987.404800,943.385600
0.75,301,m0,c09_storm2_w80_u100_0023.json,5139.423200,2751.644800,2570.408000,3876.339600,2455.561600
0.75,301,m0,c09_storm2_w80_u100_0024.json,3391.733200,2094.520800,1689.659200,2317.194000,1671.604000
0.75,301,m0,c09_storm2_w80_u100_0025.json,5774.884000,3451.306800,2789.346000,3581.575200,2693.900800
0.75,301,m0,c09_storm2_w80_u100_0026.json,3948.285600,2118.031600,2021.506400,3328.996800,1935.640400
0.75,301,m0,c09_storm2_w80_u100_0027.json,2795.221600,2004.497200,1848.128000,2275.049600,1847.675600
0.75,301,m0,c09_storm2_w80_u100_0028.json,1959.486400,1522.707600,1495.652800,1812.686400,1501.540800
0.75,301,m0,c09_storm2_w80_u100_0029.json,4020.284800,1996.513600,1568.802000,2058.041600,1393.838000
0.75,301,m2t,c09_storm2_w80_u100_0020.json,1970.798400,1855.317200,1622.726400,1805.723200,1483.052800
0.75,301,m2t,c09_storm2_w80_u100_0021.json,2264.009600,2122.589600,1993.637200,2217.445200,1971.832800
0.75,301,m2t,c09_storm2_w80_u100_0022.json,1037.825200,1025.660400,947.152000,987.404800,943.385600
0.75,301,m2t,c09_storm2_w80_u100_0023.json,5139.423200,4257.029200,2996.614400,3876.339600,2455.561600
0.75,301,m2t,c09_storm2_w80_u100_0024.json,3391.733200,3007.155600,1743.109200,2317.194000,1671.604000
0.75,301,m2t,c09_storm2_w80_u100_0025.json,5774.884000,4938.466400,3229.641600,3581.575200,2693.900800
0.75,301,m2t,c09_storm2_w80_u100_0026.json,3948.285600,2887.834400,2474.886400,3328.996800,1935.640400
0.75,301,m2t,c09_storm2_w80_u100_0027.json,2795.221600,2479.250800,1931.526400,2275.049600,1847.675600
0.75,301,m2t,c09_storm2_w80_u100_0028.json,1959.486400,1651.130000,1526.050400,1812.686400,1501.540800
0.75,301,m2t,c09_storm2_w80_u100_0029.json,4020.284800,3547.564000,1801.542400,2058.041600,1393.838000
0.75,301,m2a,c09_storm2_w80_u100_0020.json,1970.798400,1885.130800,1551.401600,1805.723200,1483.052800
0.75,301,m2a,c09_storm2_w80_u100_0021.json,2264.009600,2140.750000,2026.425200,2217.445200,1971.832800
0.75,301,m2a,c09_storm2_w80_u100_0022.json,1037.825200,1029.436400,941.477200,987.404800,943.385600
0.75,301,m2a,c09_storm2_w80_u100_0023.json,5139.423200,4348.275600,2994.213600,3876.339600,2455.561600
0.75,301,m2a,c09_storm2_w80_u100_0024.json,3391.733200,3073.715600,1757.503600,2317.194000,1671.604000
0.75,301,m2a,c09_storm2_w80_u100_0025.json,5774.884000,5076.311600,3258.870800,3581.575200,2693.900800
0.75,301,m2a,c09_storm2_w80_u100_0026.json,3948.285600,2771.737600,2377.185200,3328.996800,1935.640400
0.75,301,m2a,c09_storm2_w80_u100_0027.json,2795.221600,2480.246800,1999.688400,2275.049600,1847.675600
0.75,301,m2a,c09_storm2_w80_u100_0028.json,1959.486400,1682.330800,1559.394400,1812.686400,1501.540800
0.75,301,m2a,c09_storm2_w80_u100_0029.json,4020.284800,3628.475600,1834.173200,2058.041600,1393.838000
1.0,303,m0,c09_storm2_w80_u100_0020.json,2113.920800,1636.229200,1632.326000,1974.308800,1660.290800
1.0,303,m0,c09_storm2_w80_u100_0021.json,2468.501600,2131.872400,2125.414400,2425.110000,2178.691200
1.0,303,m0,c09_storm2_w80_u100_0022.json,1216.011200,1017.177200,1000.308400,1099.216000,991.862400
