cell,tag,arm,policy,split_fit,alpha,band_mode,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0024,1943.420000,1285.437600,1794.770800,1415.813200,1285.333600,0.250158,0.073232,0.239899,0.044737
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0025,3707.412000,3138.310000,3372.256800,2178.078400,1896.992800,0.243106,0.076389,0.241031,0.060465
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0026,3150.937600,2382.559200,2562.582800,2173.548800,1851.407200,0.250147,0.080000,0.250000,0.051765
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0027,1808.482000,1452.584000,1606.835200,1555.948400,1322.403200,0.250158,0.063291,0.237224,0.018617
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0028,1488.968400,1448.066800,1322.822800,1266.687200,1174.773600,0.250158,0.050633,0.250474,0.012626
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0029,2294.863600,1211.713600,1770.715600,1290.910400,1059.860800,0.250139,0.066519,0.242123,0.057078
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0020,1473.651200,1422.421200,1412.990800,1265.013600,1177.979600,0.250448,0.073986,0.249852,0.052257
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0021,1519.953200,1429.084800,1510.915200,1475.392400,1348.460800,0.250169,0.075472,0.248151,0.021680
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0022,936.385600,914.501600,928.192400,897.210400,873.416000,0.241633,0.019391,0.247694,0.018617
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0023,4099.384400,3088.536000,3112.944800,2735.220000,2308.195200,0.249706,0.120283,0.245470,0.097619
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0024,1943.420000,1308.082800,1733.918000,1311.668000,1285.333600,0.250158,0.063131,0.246358,0.046272
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0025,3707.412000,3134.430400,3323.580400,2758.913600,1896.992800,0.243669,0.076212,0.237829,0.047059
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0026,3150.937600,2379.743600,3150.868000,2385.162800,1851.407200,0.250147,0.084706,0.250000,0.056604
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0027,1808.482000,1475.096400,1486.768800,1403.752400,1322.403200,0.250158,0.065823,0.239748,0.031579
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0028,1488.968400,1430.067200,1481.488800,1381.574000,1174.773600,0.250000,0.045570,0.250314,0.025126
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0029,2294.863600,1248.440000,2024.676800,1317.254800,1059.860800,0.250139,0.068736,0.240443,0.055300
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0020,1473.651200,1303.112000,1366.762400,1289.072000,1177.979600,0.247460,0.086957,0.246273,0.048426
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0021,1519.953200,1430.172400,1511.531600,1448.045600,1348.460800,0.250169,0.070081,0.250337,0.029650
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0022,936.385600,897.884000,919.465600,885.971200,873.416000,0.242972,0.027548,0.243207,0.027248
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0023,4099.384400,3127.943600,3411.670000,2597.524800,2308.195200,0.250147,0.110588,0.244874,0.110048
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0024,1943.420000,1339.647200,1739.838400,1334.938800,1285.333600,0.250158,0.063131,0.241619,0.052356
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0025,3707.412000,3074.056400,3228.522000,2509.169200,1896.992800,0.241981,0.079070,0.245653,0.057078
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0026,3150.937600,2388.758400,2514.316400,2154.688800,1851.407200,0.250147,0.077647,0.250294,0.047059
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0027,1808.482000,1472.288000,1540.838800,1350.985600,1322.403200,0.250000,0.063291,0.249054,0.027848
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0028,1488.968400,1436.464000,1378.743600,1299.723600,1174.773600,0.250158,0.050633,0.249842,0.025316
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,305,c09_storm2_w80_u100_0029,2294.863600,1576.931200,2083.114000,1689.559600,1059.860800,0.250139,0.059867,0.241417,0.052752
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0020,1473.651200,1323.603600,1343.666400,1273.856800,1177.979600,0.250448,0.078759,0.249851,0.047733
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0021,1519.953200,1418.492000,1567.167200,1461.795600,1348.460800,0.250169,0.064690,0.250168,0.026882
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0022,936.385600,897.884000,965.911200,952.427600,873.416000,0.242972,0.024793,0.248353,0.018568
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0023,4099.384400,3036.788000,3476.906000,2716.497200,2308.195200,0.250147,0.098824,0.247368,0.092199
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0024,1943.420000,1300.542000,1882.231600,1373.349200,1285.333600,0.249526,0.081013,0.240881,0.049608
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0025,3707.412000,3170.261600,3462.468800,2382.563600,1896.992800,0.244795,0.089655,0.244681,0.068650
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0026,3150.937600,2607.580400,2461.547200,2227.046800,1851.407200,0.250147,0.075294,0.250000,0.040189
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0027,1808.482000,1472.288000,1633.786000,1453.827600,1322.403200,0.250000,0.063291,0.249052,0.022843
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0028,1488.968400,1425.985200,1377.058400,1282.192400,1174.773600,0.250158,0.048101,0.250000,0.020202
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,306,c09_storm2_w80_u100_0029,2294.863600,1566.582400,2054.460000,1269.227600,1059.860800,0.250139,0.059867,0.240443,0.041475
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0020,1473.651200,1290.578800,1516.602000,1344.385600,1177.979600,0.250448,0.083532,0.246264,0.050971
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0021,1519.953200,1424.399200,1591.637600,1472.749200,1348.460800,0.250169,0.072776,0.250337,0.035040
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0022,936.385600,897.884000,988.463600,961.757200,873.416000,0.244311,0.027397,0.248011,0.024064
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0023,4099.384400,3105.758400,3467.310000,2868.946400,2308.195200,0.250147,0.108235,0.245902,0.128571
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0024,1943.420000,1282.702000,1841.789600,1390.672000,1285.333600,0.250158,0.075758,0.242099,0.054830
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0025,3707.412000,3209.560400,3393.323600,2785.206000,1896.992800,0.241418,0.069930,0.240223,0.055814
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0026,3150.937600,2273.497200,2904.103200,2327.834400,1851.407200,0.250294,0.080000,0.250000,0.061033
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0027,1808.482000,1453.708800,1682.726400,1469.219600,1322.403200,0.250158,0.070886,0.250000,0.050633
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0028,1488.968400,1442.273600,1394.021600,1257.050400,1174.773600,0.250000,0.043038,0.250158,0.040404
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,307,c09_storm2_w80_u100_0029,2294.863600,1678.303600,1904.484400,1274.992800,1059.860800,0.250139,0.055432,0.250276,0.055188
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0020,1473.651200,1329.806000,1399.322800,1245.522800,1177.979600,0.245666,0.080292,0.246714,0.060533
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0021,1519.953200,1424.607600,1550.918800,1493.311200,1348.460800,0.250169,0.070081,0.250168,0.034946
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0022,936.385600,897.884000,954.361600,906.184800,873.416000,0.240295,0.025070,0.246195,0.024194
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0023,4099.384400,2974.997200,3571.515200,2725.833200,2308.195200,0.250147,0.124706,0.246199,0.123515
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0024,1943.420000,1288.061600,1932.814800,1429.522400,1285.333600,0.250158,0.070707,0.240858,0.060209
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0025,3707.412000,3186.304400,3375.679600,2434.394000,1896.992800,0.243669,0.078522,0.244094,0.071429
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0026,3150.937600,2365.750800,2760.458400,2314.968000,1851.407200,0.250147,0.077647,0.250443,0.054245
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0027,1808.482000,1455.801600,1635.892400,1339.558400,1322.403200,0.250000,0.068354,0.242424,0.046875
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0028,1488.968400,1430.067200,1330.636000,1331.769200,1174.773600,0.250000,0.045570,0.250316,0.025253
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,308,c09_storm2_w80_u100_0029,2294.863600,1208.974800,2188.066800,1355.014400,1059.860800,0.250139,0.062084,0.239756,0.055427
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0020,1473.651200,1321.646800,1432.326400,1248.252000,1177.979600,0.246862,0.082324,0.249851,0.045346
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0021,1519.953200,1442.522000,1715.589600,1597.859600,1348.460800,0.250169,0.064690,0.250505,0.026882
