campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.2,c05_replay_150_0019,79,14,27,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0020,73,9,18,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0020,73,22,41,0.0,768.0,768.0,True,768.0,768.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0021,87,5,8,21.729600000000005,256.0,277.7296,True,277.7296,256.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0021,87,10,14,21.729600000000005,320.0,341.7296,True,341.7296,320.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0022,74,7,14,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0022,74,13,20,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0023,71,11,40,0.0,640.0,640.0,True,640.0,640.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0023,71,14,44,0.0,768.0,768.0,True,768.0,768.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0024,75,5,6,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0024,75,8,10,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0025,80,9,23,0.0,384.0,384.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0025,80,17,38,0.0,576.0,576.0,True,512.0,512.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0026,71,8,19,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0026,71,11,26,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0027,65,6,14,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0027,65,12,33,0.0,512.0,512.0,True,512.0,512.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0028,37,5,41,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0028,37,9,60,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0029,67,6,10,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0029,67,16,32,0.0,512.0,512.0,True,512.0,512.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0030,54,7,22,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0030,54,10,35,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0031,76,6,11,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0031,76,11,21,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0032,71,6,14,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0032,71,13,30,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
