campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0015,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0015,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0015,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0016,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0016,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0016,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0016,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0017,7.5948,7.5948
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0017,7.5948,7.5948
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0017,7.5948,7.5948
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0017,7.5948,7.5948
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0018,15.2758,15.2758
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0018,15.2758,15.2758
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0018,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0018,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0019,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0019,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0019,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0019,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0020,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0020,0.0000,0.0000
