campus,track,size,level,beta,inst_id,nwo,status_rule,status_rule_fair,status_oracle,both_opt,both_opt_fair,twt_rule,twt_rule_fair,twt_oracle
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0017,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,437.4504,38.7584,38.7584
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0017,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,326.6195,61.2840,61.2840
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0018,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,690.0015,168.6856,168.6856
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0018,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,471.6754,168.6856,168.6856
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,368.8668,10.2084,10.2084
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,416.4004,0.0000,0.0000
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,185.3299,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,53.2727,0.0000,0.0000
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,94.9051,94.9051,94.9051
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,63.4272,63.4272,63.4272
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0002,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,4.3020,4.3020,4.3020
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0002,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,33.6918,4.3020,4.3020
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,13.4336,13.4336,13.4336
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,15.4290,15.4290,15.4290
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0004,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,188.7896,41.3424,41.3424
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0004,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,244.6712,41.3424,41.3424
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0005,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,130.6548,4.1468,4.1468
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0005,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,195.3777,4.1468,4.1468
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,394.7478,131.5408,131.5408
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,308.0707,195.5408,195.5408
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,80.9139,27.8272,27.8272
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,73.0760,27.8272,27.8272
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0008,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,71.3948,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0008,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,22.4968,22.4968,22.4968
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,378.5616,238.5984,238.5984
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,373.2519,302.5984,302.5984
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0010,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,0.0000,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0010,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,0.0000,0.0000,0.0000
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0011,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,231.9129,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0011,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,139.2719,0.0000,0.0000
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0012,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,244.4274,149.1628,149.1628
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0012,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,290.8809,145.5740,145.5740
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0013,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,0.0000,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0013,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,1.0570,1.0570,1.0570
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0014,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,226.1123,27.4544,27.4544
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0014,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,282.1123,27.4544,27.4544
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0015,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,101.2525,46.2360,46.2360
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0015,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,77.3836,42.3048,42.3048
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,125.9604,29.0932,29.0932
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,80.0978,29.0932,29.0932
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0017,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,20.2856,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0017,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,34.4684,14.1828,14.1828
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0018,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,113.7630,5.4676,5.4676
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0018,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,150.4773,14.6212,14.6212
9,storm,150,a200_c100,0.5,c09_storm_150_a200_c100_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,122.4687,0.0000,0.0000
9,storm,150,a200_c100,1.0,c09_storm_150_a200_c100_0019,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,114.3266,0.0000,0.0000
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,485.8176,367.7052,367.7052
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0000,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,458.6344,340.5220,340.5220
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,151.2840,114.9576,114.9576
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0001,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,178.6282,142.3018,142.3018
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,64.2068,18.7112,18.7112
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,44.7300,44.7300,44.7300
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,319.9076,284.5660,284.5660
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0003,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,273.2472,154.6536,154.6536
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0004,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,300.2724,81.4328,81.4328
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0004,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,202.3552,55.1948,55.1948
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0005,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,411.3645,171.3040,171.3040
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0005,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,368.0396,178.2104,178.2104
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,32.5092,32.5092,32.5092
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,74.9468,74.9468,74.9468
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,555.6268,219.1324,219.1324
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,371.1192,91.1324,91.1324
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0008,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,287.0972,183.5992,183.5992
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0008,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,229.5592,229.5592,229.5592
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,11.6336,11.6336,11.6336
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,185.8500,185.8500,185.8500
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0010,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,256.3804,208.9144,208.9144
9,pmmix,150,p20_c60,1.0,c09_pmmix_150_p20_c60_0010,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,454.6044,454.6044,454.6044
9,pmmix,150,p20_c60,0.5,c09_pmmix_150_p20_c60_0011,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,304.4676,87.5340,87.5340
