scope,campus,track,size,level,arr_mult,beta,n,mean_atc,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses
campus,5,pmmix,400,p50_c60,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c60,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c60,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c60,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c100,1.250,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c100,1.250,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c100,1.250,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c80,1.250,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c80,1.250,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a125_c80,1.250,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c100,1.500,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c100,1.500,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c100,1.500,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c80,1.500,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c80,1.500,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a150_c80,1.500,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c100,2.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c100,2.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c100,2.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c80,2.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c80,2.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a200_c80,2.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c100,3.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c100,3.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c100,3.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c80,3.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c80,3.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,150,a300_c80,3.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c100,1.250,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c100,1.250,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c100,1.250,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c80,1.250,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c80,1.250,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a125_c80,1.250,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c100,1.500,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c100,1.500,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c100,1.500,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c80,1.500,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c80,1.500,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a150_c80,1.500,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c100,2.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c100,2.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c100,2.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c80,2.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c80,2.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a200_c80,2.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c100,3.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c100,3.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c100,3.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c80,3.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c80,3.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm,400,a300_c80,3.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm2,w80,u70,5.253,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm2,w80,u70,5.253,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm2,w80,u70,5.253,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,storm2,w80,u90,6.754,0.5,30,6.5313,0.1983,6.3331,96.9643,1,29,0
campus,5,storm2,w80,u90,6.754,0.75,30,7.1203,0.7564,6.3639,89.3765,1,28,1
campus,5,storm2,w80,u90,6.754,1.0,30,7.1203,0.1772,6.9431,97.5107,1,29,0
campus,5,storm2,w80,u100,7.505,0.5,30,9.3387,7.9310,1.4077,15.0736,3,24,3
campus,5,storm2,w80,u100,7.505,0.75,30,9.3387,7.7288,1.6099,17.2388,4,24,2
campus,5,storm2,w80,u100,7.505,1.0,30,11.8454,7.6745,4.1709,35.2108,4,24,2
campus,5,storm2,w80,u110,8.255,0.5,30,14.5955,14.3240,0.2715,1.8600,4,22,4
campus,5,storm2,w80,u110,8.255,0.75,30,12.7101,19.7726,-7.0625,-55.5659,0,20,10
campus,5,storm2,w80,u110,8.255,1.0,30,16.0365,19.0872,-3.0507,-19.0235,3,21,6
campus,5,storm2,w80,u130,9.756,0.5,30,166.6134,122.9692,43.6442,26.1949,13,6,11
campus,5,storm2,w80,u130,9.756,0.75,30,174.5487,136.2583,38.2904,21.9368,14,8,8
campus,5,storm2,w80,u130,9.756,1.0,30,185.7326,143.6799,42.0528,22.6416,13,5,12
campus,9,pmmix,150,p20_c100,1.000,0.5,30,141.2839,141.2839,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c100,1.000,0.75,30,136.9694,136.9694,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c100,1.000,1.0,30,131.4817,131.4817,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c100,1.000,0.5,30,100.6696,100.6696,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c100,1.000,0.75,30,97.5907,97.5907,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c100,1.000,1.0,30,102.4936,102.4936,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c100,1.000,0.5,30,31.3655,31.3655,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c100,1.000,0.75,30,31.0363,31.0363,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c100,1.000,1.0,30,29.3435,29.3435,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c80,1.000,0.5,30,131.9699,131.9699,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c80,1.000,0.75,30,131.7895,131.7895,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c80,1.000,1.0,30,131.4817,131.4817,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c80,1.000,0.5,30,101.1250,101.1250,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c80,1.000,0.75,30,102.2620,102.2620,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c80,1.000,1.0,30,102.4936,102.4936,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c80,1.000,0.5,30,31.3680,31.3680,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c80,1.000,0.75,30,31.1970,31.1970,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c80,1.000,1.0,30,29.3435,29.3435,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c60,1.000,0.5,30,125.7761,125.7761,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c60,1.000,0.75,30,125.8019,125.8019,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p20_c60,1.000,1.0,30,132.5812,132.5812,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c60,1.000,0.5,30,115.4511,115.4511,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c60,1.000,0.75,30,115.9915,115.9915,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p50_c60,1.000,1.0,30,106.4805,106.4071,0.0734,0.0689,1,29,0
campus,9,pmmix,150,p80_c60,1.000,0.5,30,33.8795,33.8795,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c60,1.000,0.75,30,28.8489,28.8489,0.0000,0.0000,0,30,0
campus,9,pmmix,150,p80_c60,1.000,1.0,30,29.8379,29.8379,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c100,1.000,0.5,30,444.8204,444.8204,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c100,1.000,0.75,30,467.0440,467.0440,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c100,1.000,1.0,30,464.5827,464.5827,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c100,1.000,0.5,30,237.3081,237.3081,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c100,1.000,0.75,30,247.6449,247.6449,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c100,1.000,1.0,30,253.3117,253.3117,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c100,1.000,0.5,30,115.4605,115.4605,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c100,1.000,0.75,30,116.8092,116.8092,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c100,1.000,1.0,30,116.1874,116.1874,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c80,1.000,0.5,30,449.0390,449.0390,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c80,1.000,0.75,30,466.4303,466.4303,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c80,1.000,1.0,30,464.5827,464.5827,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c80,1.000,0.5,30,242.8840,242.8840,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c80,1.000,0.75,30,249.1903,249.1903,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c80,1.000,1.0,30,253.3117,253.3117,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c80,1.000,0.5,30,111.6665,111.6665,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c80,1.000,0.75,30,114.0308,114.0308,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c80,1.000,1.0,30,116.1874,116.1874,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p20_c60,1.000,0.5,30,461.3404,461.3246,0.0158,0.0034,0,30,0
campus,9,pmmix,400,p20_c60,1.000,0.75,30,467.8650,467.8491,0.0158,0.0034,0,30,0
campus,9,pmmix,400,p20_c60,1.000,1.0,30,467.6728,467.6570,0.0158,0.0034,0,30,0
campus,9,pmmix,400,p50_c60,1.000,0.5,30,245.1861,245.1861,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c60,1.000,0.75,30,251.2245,251.2245,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p50_c60,1.000,1.0,30,253.7817,253.7817,0.0000,0.0000,0,30,0
campus,9,pmmix,400,p80_c60,1.000,0.5,30,119.0542,119.1271,-0.0729,-0.0612,0,29,1
campus,9,pmmix,400,p80_c60,1.000,0.75,30,114.1267,114.1996,-0.0729,-0.0639,0,29,1
campus,9,pmmix,400,p80_c60,1.000,1.0,30,116.1874,116.2603,-0.0729,-0.0627,0,29,1
campus,9,storm,150,a125_c100,1.250,0.5,30,24.1525,24.1525,0.0000,0.0000,0,30,0
campus,9,storm,150,a125_c100,1.250,0.75,30,23.0983,23.0983,0.0000,0.0000,0,30,0
campus,9,storm,150,a125_c100,1.250,1.0,30,18.2554,18.2554,0.0000,0.0000,0,30,0
campus,9,storm,150,a125_c80,1.250,0.5,30,22.6618,22.6618,0.0000,0.0000,0,30,0
campus,9,storm,150,a125_c80,1.250,0.75,30,22.6618,22.6618,0.0000,0.0000,0,30,0
campus,9,storm,150,a125_c80,1.250,1.0,30,18.2554,18.2554,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c100,1.500,0.5,30,14.3981,14.3981,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c100,1.500,0.75,30,16.0583,16.0583,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c100,1.500,1.0,30,18.2554,18.2554,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c80,1.500,0.5,30,19.2499,19.2499,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c80,1.500,0.75,30,19.0269,19.0269,0.0000,0.0000,0,30,0
campus,9,storm,150,a150_c80,1.500,1.0,30,18.2554,18.2554,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c100,2.000,0.5,30,42.2721,42.2721,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c100,2.000,0.75,30,42.5134,42.5134,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c100,2.000,1.0,30,49.9554,49.9554,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c80,2.000,0.5,30,52.0539,52.0539,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c80,2.000,0.75,30,52.1539,52.1539,0.0000,0.0000,0,30,0
campus,9,storm,150,a200_c80,2.000,1.0,30,53.5108,53.5108,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c100,3.000,0.5,30,36.6070,36.6070,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c100,3.000,0.75,30,36.6070,36.6070,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c100,3.000,1.0,30,43.0353,43.0353,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c80,3.000,0.5,30,73.1994,73.1994,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c80,3.000,0.75,30,77.2745,77.2745,0.0000,0.0000,0,30,0
campus,9,storm,150,a300_c80,3.000,1.0,30,80.0203,80.0203,0.0000,0.0000,0,30,0
campus,9,storm,400,a125_c100,1.250,0.5,30,133.4008,133.4008,0.0000,0.0000,0,30,0
campus,9,storm,400,a125_c100,1.250,0.75,30,135.5155,135.5155,0.0000,0.0000,0,30,0
campus,9,storm,400,a125_c100,1.250,1.0,30,122.0395,122.0395,0.0000,0.0000,0,30,0
campus,9,storm,400,a125_c80,1.250,0.5,30,128.3892,128.3892,0.0000,0.0000,0,30,0
