iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.000000,0.000000,0.000000,0,405358,-9.278581,0.524221,0.380033,0.380033,-0.119169,927.429133,5777.725433,nan,125.971910
1,150,1228800,0.000000,0.000000,0.000000,0,406556,-7.223482,0.524221,0.380033,0.380033,-0.119169,753.104533,1494.254067,nan,127.013521
2,225,1843200,0.000000,0.000000,0.000000,0,408492,-6.905449,0.524221,0.380033,0.380033,-0.119169,751.973267,1690.955000,nan,130.867984
3,300,2457600,0.000000,0.000000,0.000000,0,409095,-6.759220,0.524221,0.380033,0.380033,-0.119169,752.602733,1569.571000,nan,129.605806
4,375,3072000,0.000000,0.000000,0.000000,0,407248,-6.986176,0.524221,0.380033,0.380033,-0.119169,753.061933,4837.242400,nan,125.925993
5,450,3686400,0.000000,0.000000,0.000000,0,406913,-6.851241,0.524221,0.380033,0.380033,-0.119169,751.850200,4444.785267,nan,129.597543
6,525,4300800,0.000000,0.000000,0.000000,0,408183,-7.029551,0.524221,0.380033,0.380033,-0.119169,756.608933,6267.951133,nan,131.476738
7,600,4915200,0.000000,0.000000,0.000000,0,408027,-6.691124,0.524221,0.380033,0.380033,-0.119169,751.249200,3494.341400,nan,130.231581
