source,campus,crew_m,beta,inst_id,window_bh,pooled_u,worst_u,twt_rule_atc,twt_oracle_atc,twt_rule_edd,twt_oracle_edd,feas_rule_atc,feas_oracle_atc,feas_rule_edd,feas_oracle_edd,incomplete_rule_atc
replay,9,1.0,0.5,c09_replay_400_0000,1310.0167,0.01564756981936015,0.05626729796650685,924.7776000000003,936.7776000000003,978.844,932.6440000000011,1,1,1,1,56
replay,9,1.0,1.0,c09_replay_400_0000,1310.0167,0.01564756981936015,0.05626729796650685,870.7776000000003,868.7776000000003,894.6440000000011,878.7776000000003,1,1,1,1,56
replay,9,1.0,0.5,c09_replay_400_0001,56.0,0.28188131313131315,0.8392857142857143,390.0,390.0,390.0,390.0,1,1,1,1,41
replay,9,1.0,1.0,c09_replay_400_0001,56.0,0.28188131313131315,0.8392857142857143,757.0,757.0,757.0,757.0,1,1,1,1,41
replay,9,1.0,0.5,c09_replay_400_0002,53.4,0.31385571066469947,0.4661822721598003,373.0,373.0,373.0,373.0,1,1,1,1,11
replay,9,1.0,1.0,c09_replay_400_0002,53.4,0.31385571066469947,0.4661822721598003,330.0,330.0,330.0,330.0,1,1,1,1,11
replay,9,1.0,0.5,c09_replay_400_0003,48.0,0.3205734006734007,0.7851208333333334,744.0,744.0,744.0,744.0,1,1,1,1,43
replay,9,1.0,1.0,c09_replay_400_0003,48.0,0.3205734006734007,0.7851208333333334,631.7296,631.7296,631.7296,631.7296,1,1,1,1,43
replay,9,1.0,0.5,c09_replay_400_0004,24.0,0.6323084175084175,1.6101722222222223,136.0,116.0,116.0,116.0,1,1,1,1,248
replay,9,1.0,1.0,c09_replay_400_0004,24.0,0.6323084175084175,1.6101722222222223,116.0,116.0,116.0,116.0,1,1,1,1,248
replay,9,1.0,0.5,c09_replay_400_0005,40.0,0.3484419191919192,0.6742916666666666,878.6672000000001,881.0663999999999,869.0663999999999,869.0663999999999,1,1,1,1,38
replay,9,1.0,1.0,c09_replay_400_0005,40.0,0.3484419191919192,0.6742916666666666,858.6672000000001,868.5328,849.0663999999999,849.0663999999999,1,1,1,1,38
replay,9,1.0,0.5,c09_replay_400_0006,56.0,0.2558540404040404,0.6919642857142857,358.0,358.0,358.0,358.0,1,1,1,1,75
replay,9,1.0,1.0,c09_replay_400_0006,56.0,0.2558540404040404,0.6919642857142857,502.0,502.0,502.0,502.0,1,1,1,1,75
replay,9,1.0,0.5,c09_replay_400_0007,1.0,10.184343434343434,19.34375,5.0,0.0,0.0,0.0,1,1,1,1,329
replay,9,1.0,1.0,c09_replay_400_0007,1.0,10.184343434343434,19.34375,0.0,0.0,0.0,0.0,1,1,1,1,329
replay,9,1.0,0.5,c09_replay_400_0008,48.0,0.2541561447811448,0.8859953703703703,632.0,594.0,720.0,594.0,1,1,1,1,318
replay,9,1.0,1.0,c09_replay_400_0008,48.0,0.2541561447811448,0.8859953703703703,594.0,594.0,594.0,594.0,1,1,1,1,318
replay,9,1.0,0.5,c09_replay_400_0009,8.0,1.6098484848484849,4.013888888888889,538.0,538.0,538.0,538.0,1,1,1,1,368
replay,9,1.0,1.0,c09_replay_400_0009,8.0,1.6098484848484849,4.013888888888889,538.0,538.0,538.0,538.0,1,1,1,1,368
replay,9,1.0,0.5,c09_replay_400_0010,56.0,0.31479978354978355,0.7745535714285714,868.3332,868.0,873.3332,868.0,1,1,1,1,74
replay,9,1.0,1.0,c09_replay_400_0010,56.0,0.31479978354978355,0.7745535714285714,490.0,490.0,529.3332,490.0,1,1,1,1,74
replay,9,1.0,0.5,c09_replay_400_0011,7.2333,1.7022840630322693,4.558392742209257,267.5336,158.8,160.8,156.8,1,1,1,1,171
replay,9,1.0,1.0,c09_replay_400_0011,7.2333,1.7022840630322693,4.558392742209257,217.53359999999998,167.8,158.8,158.8,1,1,1,1,171
replay,9,1.0,0.5,c09_replay_400_0012,24.0,0.5780723905723906,1.28515625,400.0,337.0,337.0,337.0,1,1,1,1,263
replay,9,1.0,1.0,c09_replay_400_0012,24.0,0.5780723905723906,1.28515625,340.0,340.0,345.0,340.0,1,1,1,1,263
replay,9,1.0,0.5,c09_replay_400_0013,8.0,1.6243686868686869,3.296875,15.999999999999986,15.999999999999986,28.999999999999986,15.999999999999986,1,1,1,1,174
replay,9,1.0,1.0,c09_replay_400_0013,8.0,1.6243686868686869,3.296875,326.0,159.99999999999997,249.99999999999997,164.99999999999997,1,1,1,1,174
replay,9,1.0,0.5,c09_replay_400_0014,53.0833,0.34536525183489486,0.5035324982935625,397.0,397.0,397.0,397.0,1,1,1,1,23
replay,9,1.0,1.0,c09_replay_400_0014,53.0833,0.34536525183489486,0.5035324982935625,588.0,584.0,586.6668,584.0,1,1,1,1,23
replay,9,1.0,0.5,c09_replay_400_0015,40.0,0.5135339393939394,1.045,1460.9184,1460.9184,1456.9184,1456.9184,1,1,1,1,46
replay,9,1.0,1.0,c09_replay_400_0015,40.0,0.5135339393939394,1.045,1460.9184,1460.9184,1456.9184,1456.9184,1,1,1,1,46
replay,9,1.0,0.5,c09_replay_400_0016,56.0,0.2795364357864358,0.5028698979591837,498.99999999999994,498.99999999999994,498.99999999999994,498.99999999999994,1,1,1,1,74
replay,9,1.0,1.0,c09_replay_400_0016,56.0,0.2795364357864358,0.5028698979591837,700.0,700.0,700.0,700.0,1,1,1,1,74
replay,9,1.0,0.5,c09_replay_400_0017,48.0,0.36958122895622897,0.7194010416666666,974.0,957.0,940.0,940.0,1,1,1,1,55
replay,9,1.0,1.0,c09_replay_400_0017,48.0,0.36958122895622897,0.7194010416666666,1218.0,1225.0,1184.0,1184.0,1,1,1,1,55
replay,9,1.0,0.5,c09_replay_400_0018,64.0,0.19917929292929293,0.4407552083333333,387.6,384.0,384.0,384.0,1,1,1,1,21
