iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.053141,0.946859,0.247238,111139,449522,-10.068583,0.752405,0.385495,0.386454,0.592847,1173.702667,2389.747933,0.222479,247.772731
1,150,1228800,0.007299,0.992701,0.247090,111247,450228,-9.832881,0.715248,0.384905,0.386454,0.568770,1353.458133,2405.667667,0.234076,282.331129
2,225,1843200,0.005276,0.994724,0.247106,111451,451025,-11.293768,0.650673,0.382618,0.386454,0.391739,1861.081467,2376.067733,0.158300,266.234878
3,300,2457600,0.004776,0.995224,0.247466,111595,450950,-13.757400,0.708273,0.385864,0.386454,0.363212,2075.911533,2375.724333,0.128013,250.979682
4,375,3072000,0.004324,0.995676,0.247830,111709,450749,-14.261194,0.644420,0.384979,0.386454,0.267095,2150.205800,2372.911867,0.189509,253.286737
5,450,3686400,0.003814,0.996186,0.247943,112222,452612,-14.461772,0.651154,0.384093,0.386454,0.233886,2079.037067,2356.183333,0.132250,254.284739
6,525,4300800,0.003633,0.996367,0.248006,112043,451776,-14.317236,0.618927,0.381806,0.386454,0.152375,1865.358333,2318.628600,0.039078,253.481196
7,600,4915200,0.003795,0.996205,0.248236,111996,451168,-14.111075,0.595719,0.383134,0.386454,0.193657,1932.157933,2305.365067,0.091515,258.209111
