campus,u,inst_id,n_wos,twt_atc,twt_edd,twt_wspt,twt_pfifo,twt_mor,twt_oracle,twt_ga,ga_gens,ga_wall,feas_oracle
9,90,c09_storm2_w80_u90_0000,2081,871.7147999999999,828.8692,987.9776000000003,828.8692,7034.489199999998,789.5896,,,,True
9,90,c09_storm2_w80_u90_0001,2031,1315.8383999999996,1125.2827999999997,1394.6159999999998,1125.2827999999997,16293.166599999997,1088.8736,,,,True
9,90,c09_storm2_w80_u90_0002,2040,3427.8408,3254.1407999999997,4153.8752,3254.1407999999997,14604.285999999998,1852.6363999999999,,,,True
9,90,c09_storm2_w80_u90_0003,2092,1155.0736000000002,934.902,1496.6360000000002,934.902,11401.873799999996,980.0259999999998,,,,True
9,90,c09_storm2_w80_u90_0004,1956,1924.2148000000002,1834.3460000000007,2242.5907999999995,1834.3460000000007,15713.097999999996,1796.692,,,,True
9,90,c09_storm2_w80_u90_0005,1986,2139.506,1930.7391999999995,2393.381599999999,1930.7391999999995,18854.067599999995,1851.8572,,,,True
9,90,c09_storm2_w80_u90_0006,2004,1854.0348000000004,1674.2136,1900.4740000000002,1674.2136,15425.453199999994,1671.1856000000007,,,,True
9,90,c09_storm2_w80_u90_0007,2055,2497.5624000000003,2348.5892,3209.545399999999,2348.5892,12276.917000000005,2041.3948,,,,True
9,90,c09_storm2_w80_u90_0008,2009,1332.098800000001,1274.9160000000002,1371.8832,1274.9160000000002,9414.773600000002,1273.0943999999995,,,,True
9,90,c09_storm2_w80_u90_0009,2076,3188.8931999999995,2876.4847999999984,4027.3544,2876.4847999999984,16484.063199999993,2144.1315999999997,,,,True
9,90,c09_storm2_w80_u90_0010,2020,1304.8236000000002,1231.6623999999997,1535.7166000000002,1231.6623999999997,12436.493199999997,1222.5956,,,,True
9,90,c09_storm2_w80_u90_0011,2135,1942.2168000000004,1827.5467999999992,2196.5195999999996,1827.5467999999992,14135.077199999998,1522.6227999999996,,,,True
9,100,c09_storm2_w80_u100_0000,2269,2656.3296000000014,2401.5904,3112.0077999999985,2401.5904,32606.11319999999,1496.7468,3271.9716000000003,66,60.447041033767164,True
9,100,c09_storm2_w80_u100_0001,2221,1190.8056000000001,1143.3751999999997,2109.7517999999995,1143.3751999999997,22676.94159999999,1148.5304,1643.7335999999996,71,60.753032272681594,True
9,100,c09_storm2_w80_u100_0002,2267,1320.0912000000008,1150.8339999999992,3027.5352000000007,1150.8339999999992,26978.176799999994,930.5275999999998,2531.204600000002,72,60.20376058481634,True
9,100,c09_storm2_w80_u100_0003,2250,1678.3164,2118.849199999999,1503.9848000000006,2118.849199999999,19556.76319999999,1351.5308000000005,2163.3031999999994,71,60.28507837001234,True
9,100,c09_storm2_w80_u100_0004,2321,2039.3917999999996,1955.4331999999988,3468.2853999999993,1955.4331999999988,35658.2152,1098.8000000000004,2391.6456000000007,66,60.7202768009156,True
9,100,c09_storm2_w80_u100_0005,2199,1630.5863999999997,1481.9699999999998,2398.091800000001,1481.9699999999998,35036.688799999996,1152.338600000001,2666.3815999999997,74,60.582672791555524,True
