part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,70,,1.0,0.25,302,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1040.036400,940.702400,931.369600,1012.924000,956.782400,0.2514,0.0519,0.2477,0.0219
B,e3,9,storm2,70,,1.0,0.25,302,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,462.854400,463.545600,463.065600,462.854400,463.545600,0.2492,0.0000,0.2460,0.0132
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1574.511600,1517.315600,1524.045600,1575.405600,1520.068000,0.2507,0.0265,0.2497,0.0159
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,846.673600,846.673600,846.673600,846.673600,846.673600,0.2500,0.0000,0.2485,0.0000
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,1008.481600,1010.726400,1012.175200,1008.481600,1010.726400,0.2515,0.0000,0.2522,0.0115
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,1055.166000,1057.525200,1055.855600,1055.166000,1057.525200,0.2527,0.0000,0.2527,0.0000
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,1460.026400,1457.665600,1510.478800,1460.026400,1457.665600,0.2506,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,700.335200,700.335200,700.335200,700.335200,700.335200,0.2525,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,828.348800,792.533600,788.582800,827.825200,792.533600,0.2500,0.0065,0.2512,0.0127
B,e3,9,storm2,70,,1.0,0.25,301,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,1148.310800,1148.310800,1152.793200,1148.310800,1148.310800,0.2500,0.0000,0.2516,0.0000
