part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
C,boundary_slack,10,replay,,150,1.0,0.25,301,c10_replay_150_0028,150,,,0,56.000000,56.000000,56.000000,56.000000,56.000000,0.2418,0.0000,0.2418,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,301,c10_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0020,400,,,0,347.729600,347.729600,347.729600,347.729600,347.729600,0.2459,0.0000,0.2459,0.0000
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0021,400,,,0,290.000000,290.000000,290.000000,290.000000,290.000000,0.2514,0.0115,0.2514,0.0115
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0022,400,,,0,1897.732800,1897.732800,1913.732800,1913.732800,1913.732800,0.2537,0.0192,0.2537,0.0192
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0023,400,,,0,496.000000,462.400000,458.400000,496.000000,458.400000,0.2500,0.0130,0.2516,0.0253
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0024,400,,,0,675.533600,488.533600,454.533600,690.533600,481.533600,0.2500,0.0805,0.2500,0.0575
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0025,400,,,0,1069.863200,1054.796000,1029.062400,1070.129600,1053.063200,0.2489,0.0517,0.2489,0.0517
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0026,400,,,0,233.933200,233.933200,228.000000,228.000000,228.000000,0.2511,0.0345,0.2511,0.0172
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0027,400,,,0,28.000000,28.000000,28.000000,28.000000,28.000000,0.2260,0.0213,0.2260,0.0213
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0028,400,,,0,182.000000,182.000000,182.000000,182.000000,182.000000,0.2482,0.0143,0.2482,0.0143
C,boundary_slack,9,replay,,400,1.0,0.25,303,c09_replay_400_0029,400,,,0,364.000000,364.000000,364.000000,364.000000,364.000000,0.2400,0.0208,0.2400,0.0208
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0020,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2540,0.0000,0.2540,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0021,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2517,0.0000,0.2517,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0022,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2547,0.0000,0.2547,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0023,150,,,0,60.000000,60.000000,60.000000,60.000000,60.000000,0.2556,0.0000,0.2556,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0024,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2571,0.0000,0.2571,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0025,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2520,0.0000,0.2520,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0026,150,,,0,45.729600,45.729600,45.729600,45.729600,45.729600,0.2544,0.0000,0.2544,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0027,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0028,150,,,0,56.000000,56.000000,56.000000,56.000000,56.000000,0.2418,0.0000,0.2418,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,302,c10_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0020,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2540,0.0000,0.2540,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0021,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2517,0.0000,0.2517,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0022,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2547,0.0000,0.2547,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0023,150,,,0,60.000000,60.000000,60.000000,60.000000,60.000000,0.2556,0.0000,0.2556,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0024,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2571,0.0000,0.2571,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0025,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2520,0.0000,0.2520,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0026,150,,,0,45.729600,45.729600,45.729600,45.729600,45.729600,0.2544,0.0000,0.2544,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0027,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0028,150,,,0,56.000000,56.000000,56.000000,56.000000,56.000000,0.2418,0.0000,0.2418,0.0000
C,boundary_slack,10,replay,,150,1.0,0.25,303,c10_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0020,400,,,0,286.000000,286.000000,286.000000,286.000000,286.000000,0.2434,0.0000,0.2434,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0021,400,,,0,102.624000,102.624000,102.624000,102.624000,102.624000,0.2428,0.0169,0.2428,0.0169
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0022,400,,,0,250.000000,250.000000,250.000000,250.000000,250.000000,0.2405,0.0000,0.2405,0.0000
C,boundary_slack,10,replay,,400,1.0,0.25,302,c10_replay_400_0023,400,,,0,794.918400,794.918400,794.918400,794.918400,794.918400,0.2500,0.0000,0.2463,0.0000
