part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2571.835200,1996.894800,2469.498000,2111.128800,0.2453,0.0593,0.2407,0.1391
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,3433.911200,2533.840800,4246.393200,2756.210000,0.2430,0.0741,0.2441,0.1820
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2392.777200,1938.243600,3735.281600,2166.158800,0.2484,0.0664,0.2491,0.1537
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1756.343200,1685.882800,1930.606800,1661.776400,0.2375,0.0133,0.2476,0.0895
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1333.063600,1316.495200,2015.876400,1312.500000,0.2486,0.0051,0.2498,0.0939
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,2565.480800,1226.778800,2030.916400,1459.416400,0.2457,0.0542,0.2446,0.1179
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1658.268000,1660.290800,1910.714000,1645.578000,0.2460,0.0145,0.2464,0.0777
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2129.583200,2178.691200,2375.253200,2129.531200,0.2495,0.0135,0.2495,0.0973
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,990.138400,991.862400,1080.275600,995.260000,0.2465,0.0188,0.2470,0.0271
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2755.786800,2621.206400,4080.112800,2685.141200,0.2374,0.0862,0.2468,0.1957
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2317.426000,1996.894800,2768.326000,2028.658800,0.2405,0.0289,0.2369,0.1520
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2673.725200,2533.840800,4127.300800,2620.668800,0.2427,0.0324,0.2437,0.1940
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,1915.840800,1938.243600,3855.085200,1927.748000,0.2490,0.0071,0.2491,0.1371
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1780.036000,1685.882800,1957.127600,1684.224800,0.2475,0.0102,0.2457,0.0747
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1300.352000,1316.495200,2087.126400,1303.749200,0.2497,0.0076,0.2498,0.0660
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1409.230800,1226.778800,2594.246000,1257.018400,0.2453,0.0248,0.2374,0.1262
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1637.707600,1660.290800,1969.074800,1622.510800,0.2488,0.0120,0.2488,0.0553
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2127.756000,2178.691200,2409.660000,2124.110400,0.2487,0.0054,0.2495,0.0892
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1051.754800,991.862400,1107.111600,1024.607600,0.2450,0.0081,0.2456,0.0218
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2652.365200,2621.206400,3833.542400,2573.919200,0.2447,0.0263,0.2456,0.1894
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2101.713600,1996.894800,2919.974000,2030.492800,0.2461,0.0154,0.2388,0.1481
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,2573.068000,2533.840800,5023.538000,2546.088000,0.2430,0.0208,0.2442,0.1452
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,1934.106000,1938.243600,3853.705200,1912.367200,0.2500,0.0094,0.2491,0.1300
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1668.493200,1685.882800,1957.127600,1663.448400,0.2479,0.0128,0.2476,0.0742
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1312.032400,1316.495200,2087.544800,1301.516800,0.2498,0.0101,0.2498,0.0609
alpha,stability_norm,stability,1,0.1,normalized,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1284.038000,1226.778800,2303.399600,1249.862800,0.2450,0.0249,0.2440,0.1227
