campus,arm,rho,n_seeds,automation_coverage,automation_coverage_reviewable,reviewed_fraction,undetermined_rate,unbudgeted_automation,twt_rule,twt_m0_alone,twt_m0_sup,twt_rule_sup,twt_oracle,red_m0_alone_pct,red_m0_sup_pct,red_rule_sup_pct,band_q
9,stability,0.02,3,0.9857420965704676,0.9803302641154911,0.01966973588450896,0.8673371040461605,0.396125883876108,3644.8307200000004,2208.561573333334,2179.6697733333335,3547.393306666667,1815.0186800000004,39.405647532148386,40.198326320808306,2.6733042168096506,0.6653555432955424
9,stability,0.05,3,0.9645232376284362,0.9510883902374209,0.04891160976257933,0.8563726906286248,0.40259934269495073,3644.8307200000004,1984.9500800000003,1917.3801066666667,3339.6725066666672,1815.0186800000004,45.54067849823215,47.39453615374855,8.372356270453436,0.5524598161379496
9,stability,0.1,3,0.9295366435654969,0.9027314323046944,0.09726856769530545,0.8388922829564862,0.4193805397868738,3644.8307200000004,1915.5617733333331,1870.9787066666668,3082.3465600000004,1815.0186800000004,47.44442415878966,48.66761036664368,15.43238090354989,0.47403528292973834
9,stability,0.25,3,0.8220893457249666,0.7541715233299421,0.24582847667005772,0.8143030693333739,0.43421969923314413,3644.8307200000004,1884.6646133333334,1844.5402133333334,2729.0028666666663,1815.0186800000004,48.29212223789276,49.392979947959475,25.12675961349816,0.3181987802187602
9,stability,0.5,3,0.6428738580423284,0.5063107557411498,0.49368924425885014,0.8058695753370598,0.4430833582312519,3644.8307200000004,1931.5177866666666,1817.6415733333333,2313.0231333333336,1815.0186800000004,47.006653119224524,50.13097416679661,36.5396280095737,0.24422325193881989
9,targeted,0.02,3,0.9854491074516889,0.9799329557836023,0.02006704421639761,nan,0.4074295388905487,3644.8307200000004,2001.2384933333333,1954.4592400000001,3532.6956000000005,1815.0186800000004,45.09378769356583,46.37722873450759,3.0765522081640024,0.6643820206324259
9,targeted,0.05,3,0.9641031374797456,0.9504139442134601,0.04958605578654,nan,0.4088238223284533,3644.8307200000004,1991.4082666666666,1900.8342533333334,3399.57684,1815.0186800000004,45.36349093692158,47.8484901122285,6.728814006484235,0.6168996493021647
9,targeted,0.1,3,0.9281916343249114,0.9009214163990649,0.09907858360093513,nan,0.41196096006373867,3644.8307200000004,1953.2815333333335,1859.4634533333337,3116.0609600000003,1815.0186800000004,46.40954043173414,48.98354419781302,14.507388699796737,0.5509846210479736
9,targeted,0.25,3,0.8206994064406326,0.7524067018265876,0.24759329817341236,nan,0.42505726521262815,3644.8307200000004,1955.1516800000002,1846.9724800000004,2692.77344,1815.0186800000004,46.3582308700471,49.326247996505025,26.120754381701445,0.38977233568827313
9,targeted,0.5,3,0.6427269613888219,0.5062084953544984,0.49379150464550153,nan,0.4288417488297978,3644.8307200000004,1995.0546800000002,1835.36268,2403.33492,1815.0186800000004,45.263447516157896,49.64477582102908,34.061823315624395,0.3203348418076833
10,stability,0.02,3,0.9824451021423086,0.9799768718322097,0.020023128167790324,0.9505577612348239,0.17349751225972723,8283.683825,2690.4492916666672,2556.840275,7174.616008333335,2434.288625,67.52110113682825,69.13401900633261,13.388582182718265,0.5312410891056061
10,stability,0.05,3,0.9561704163223435,0.94998568867899,0.050014311321010085,0.9355929509082662,0.18731431435014498,8283.683825,2820.4515916666664,2591.6173416666666,6672.3703749999995,2434.288625,65.9517232761275,68.71419290720375,19.451653202130764,0.49429625272750854
10,stability,0.1,3,0.9124523559569849,0.9000567208621212,0.09994327913787877,0.8904793927451725,0.22640226223288115,8283.683825,2822.651091666667,2570.605825,6315.802875000001,2434.288625,65.92517107970781,68.9678423355324,23.756108895187086,0.4205176730950673
10,stability,0.25,3,0.7813763279108364,0.7504446634431853,0.2495553365568146,0.8476857696183696,0.26316354655116864,8283.683825,2898.7572416666662,2638.7205416666666,6013.849925000001,2434.288625,65.00642343544943,68.14556666560524,27.401261901736074,0.2135558227698008
10,stability,0.5,3,0.5624786063139245,0.5004861332360482,0.4995138667639518,0.8322043632705087,0.2766820584410161,8283.683825,2912.877525,2623.945225,5391.165225,2434.288625,64.83596445087642,68.32393316267115,34.91826415767384,0.13452819486459097
