scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,9,pmmix150_p20_c60,2.0,0.75,w16421,30,201.0997,201.0997,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,2.0,0.75,w27931,30,351.0921,351.0921,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,2.0,1.0,w8421,30,125.5714,125.5714,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,2.0,1.0,w16421,30,216.8303,216.8303,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,2.0,1.0,w27931,30,381.6012,381.6012,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.5,w8421,30,348.6858,348.6858,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.5,w16421,30,554.7189,554.7189,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.5,w27931,30,1001.1758,1001.1758,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.75,w8421,30,369.8624,369.8624,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.75,w16421,30,611.5622,611.5622,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,0.75,w27931,30,1091.0935,1091.0935,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,1.0,w8421,30,344.1159,344.1159,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,1.0,w16421,30,535.1012,535.1012,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,1.0,1.0,w27931,30,976.1803,976.1803,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,0.5,w8421,30,299.9434,299.9434,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,0.5,w16421,30,475.0987,475.0987,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,0.5,w27931,30,835.1526,835.1526,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,0.75,w8421,30,285.2858,285.2925,-0.0067,-0.0024,0,30,0
campus,12,storm150_a300_c80,2.0,0.75,w16421,30,455.2370,455.2437,-0.0067,-0.0015,0,30,0
campus,12,storm150_a300_c80,2.0,0.75,w27931,30,787.2767,787.2919,-0.0152,-0.0019,0,30,0
campus,12,storm150_a300_c80,2.0,1.0,w8421,30,284.0486,284.0486,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,1.0,w16421,30,453.0628,453.0628,0.0000,0.0000,0,30,0
campus,12,storm150_a300_c80,2.0,1.0,w27931,30,785.3627,785.3627,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,0.5,w8421,30,633.6007,633.6007,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,0.5,w16421,30,1109.0192,1109.0192,0.0000,0.0000,0,30,0
campus,12,storm150_a200_c80,1.0,0.5,w27931,30,1942.0467,1942.0467,0.0000,0.0000,0,30,0
