scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
campus,12,gen400_default,atc,1.0,40,1186.4524,1186.4524,0.0000,0.0000,0,40,0,0.4756,0.8591,75.42,18.65
campus,12,pmmix_c60_poolpm,atc,1.0,90,774.5707,773.9508,0.6199,0.0800,8,74,8,0.7871,1.3928,80.36,11.28
campus,12,pmmix_c100_poolpm,atc,1.0,90,769.4438,769.4438,0.0000,0.0000,0,90,0,0.4739,0.8346,77.48,11.18
campus,5,pmmix_p20_c60,atc,1.0,30,344.1424,299.0201,45.1223,13.1115,8,22,0,0.4238,0.9322,35.60,7.27
campus,5,pmmix_p20_c100,atc,1.0,30,149.7787,149.7787,0.0000,0.0000,0,30,0,0.2521,0.4989,31.00,4.00
campus,5,pmmix_p50_c60,atc,1.0,30,107.6722,106.2923,1.3799,1.2815,4,26,0,0.4254,0.8364,34.17,3.03
campus,5,pmmix_p50_c100,atc,1.0,30,75.8206,75.8206,0.0000,0.0000,0,30,0,0.2531,0.4550,30.97,2.43
campus,5,pmmix_p80_c60,atc,1.0,30,60.9826,57.7993,3.1834,5.2201,1,29,0,0.4343,0.8035,34.47,1.90
campus,5,pmmix_p80_c100,atc,1.0,30,55.9572,55.9572,0.0000,0.0000,0,30,0,0.2583,0.4617,31.57,1.67
campus,5,gen400_default,atc,1.0,40,112.5412,112.5412,0.0000,0.0000,0,40,0,0.2540,0.5333,31.10,2.98
campus,5,pmmix_c60_poolpm,atc,1.0,90,170.9324,154.3706,16.5619,9.6891,13,77,0,0.4278,0.8574,34.74,4.07
campus,5,pmmix_c100_poolpm,atc,1.0,90,93.8521,93.8521,0.0000,0.0000,0,90,0,0.2545,0.4718,31.18,2.70
campus,10,pmmix_p20_c60,atc,1.0,30,357.2426,357.2426,0.0000,0.0000,0,30,0,0.0941,0.1768,9.90,3.60
campus,10,pmmix_p20_c100,atc,1.0,30,357.2426,357.2426,0.0000,0.0000,0,30,0,0.0556,0.1062,9.90,3.60
campus,10,pmmix_p50_c60,atc,1.0,30,167.7337,167.7337,0.0000,0.0000,0,30,0,0.0928,0.1988,10.47,2.00
campus,10,pmmix_p50_c100,atc,1.0,30,167.7337,167.7337,0.0000,0.0000,0,30,0,0.0549,0.1152,10.47,2.00
