campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1350.2352,1350.2352,20,20
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1350.2352,1350.2352,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1590.8880,1590.8880,20,20
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1590.8880,1590.8880,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1101.4928,1101.4928,15,15
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0005,400,60,85.5283,0.2721,0.3498,D20,18,124.5730,1101.4928,1101.4928,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1252.9256,1252.9256,15,15
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1252.9256,1252.9256,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1210.2256,1210.2256,15,15
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1210.2256,1210.2256,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1140.5672,1140.5672,17,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0006,400,60,84.8780,0.2927,0.6408,B20,22,128.4222,1140.5672,1140.5672,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,992.8404,992.8404,19,19
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,992.8404,992.8404,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,869.5588,869.5588,17,17
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,869.5588,869.5588,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,850.6288,850.6288,14,14
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0007,400,60,88.0470,0.2693,0.4325,D20,20,106.1956,850.6288,850.6288,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,456.7208,456.7208,10,10
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,456.7208,456.7208,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,418.3352,418.3352,9,9
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,418.3352,418.3352,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,350.0616,350.0616,10,10
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0008,400,60,90.9295,0.2265,0.3207,B20,9,115.4357,350.0616,350.0616,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,738.4384,738.4384,8,8
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,738.4384,738.4384,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0009,400,60,85.4495,0.2805,0.5352,B30,27,109.1172,883.6400,883.6400,12,12
