campus,size,arrival,rule,beta,inst_id,twt_rule,twt_oracle,twt_rule_wonly,twt_oracle_wonly,n_shift,feasible,util_pooled,util_worst,worst_trade,window_bh,makespan,incomplete_at_window,n_wos
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0005,87.2192,87.2192,,,78,1,0.2472,0.3976,C30,27.098,61.706,20,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0006,0.0000,0.0000,0.0000,0.0000,101,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0006,0.0000,0.0000,,,101,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0006,0.0000,0.0000,0.0000,0.0000,100,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0006,0.0000,0.0000,,,100,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0006,16.9816,16.9816,0.0000,0.0000,67,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0006,16.9816,16.9816,,,67,1,0.3064,0.5074,D50,22.941,38.669,25,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0007,63.5068,63.5068,107.4370,107.4370,86,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0007,63.5068,63.5068,,,86,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0007,154.8644,154.8644,92.9182,92.9182,90,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0007,154.8644,154.8644,,,90,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0007,181.3016,181.3016,92.9182,92.9182,74,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0007,181.3016,181.3016,,,74,1,0.3039,0.3996,E10,28.697,79.738,20,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0008,0.0000,0.0000,3.2318,3.2318,88,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0008,0.0000,0.0000,,,88,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0008,0.0000,0.0000,3.2318,3.2318,88,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0008,0.0000,0.0000,,,88,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0008,0.0000,0.0000,3.2318,3.2318,77,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0008,0.0000,0.0000,,,77,1,0.2721,0.4437,D30,30.131,51.186,23,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0009,4.9440,4.9440,0.0000,0.0000,87,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0009,4.9440,4.9440,,,87,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0009,4.9440,4.9440,0.0000,0.0000,86,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0009,4.9440,4.9440,,,86,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0009,46.8408,46.8408,0.0000,0.0000,80,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0009,46.8408,46.8408,,,80,1,0.2540,0.5991,MISC,24.417,44.848,19,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0010,0.0000,0.0000,0.0000,0.0000,82,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0010,0.0000,0.0000,,,82,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0010,0.0000,0.0000,0.0000,0.0000,77,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0010,0.0000,0.0000,,,77,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0010,0.0000,0.0000,0.0000,0.0000,61,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0010,0.0000,0.0000,,,61,1,0.2064,0.5938,B30,26.754,67.724,16,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0011,18.6736,18.6736,1.7376,1.7376,96,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0011,18.6736,18.6736,,,96,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0011,73.3392,73.3392,1.7376,1.7376,93,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0011,73.3392,73.3392,,,93,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0011,73.3392,73.3392,1.7376,1.7376,68,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0011,73.3392,73.3392,,,68,1,0.3353,0.7603,D50,21.145,62.710,17,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0012,6.1144,6.1144,18.2784,18.2784,93,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0012,6.1144,6.1144,,,93,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0012,6.1144,6.1144,18.2784,18.2784,95,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0012,6.1144,6.1144,,,95,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0012,6.1144,6.1144,18.2784,18.2784,69,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0012,6.1144,6.1144,,,69,1,0.2654,0.8001,MISC,24.617,75.184,22,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0013,63.0336,63.0336,24.9176,24.9176,95,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0013,63.0336,63.0336,,,95,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0013,54.0432,54.0432,24.9176,24.9176,86,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0013,54.0432,54.0432,,,86,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0013,73.3792,73.3792,24.9176,24.9176,71,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0013,73.3792,73.3792,,,71,1,0.2479,0.3523,D40,25.362,44.433,17,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0014,8.9720,8.9720,0.0000,0.0000,92,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0014,8.9720,8.9720,,,92,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0014,37.8872,37.8872,0.0000,0.0000,95,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0014,37.8872,37.8872,,,95,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0014,37.8872,37.8872,0.0000,0.0000,64,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0014,37.8872,37.8872,,,64,1,0.2382,0.3563,D20,24.927,43.709,12,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0015,73.2416,73.2416,74.3198,74.3198,96,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0015,73.2416,73.2416,,,96,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0015,0.0000,0.0000,37.6990,37.6990,94,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0015,0.0000,0.0000,,,94,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0015,0.0000,0.0000,20.4668,20.4668,72,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0015,0.0000,0.0000,,,72,1,0.3448,1.0729,C10,22.114,61.403,30,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0016,14.5736,14.5736,0.0000,0.0000,98,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0016,14.5736,14.5736,,,98,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0016,6.8168,6.8168,0.0000,0.0000,97,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0016,6.8168,6.8168,,,97,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0016,6.8168,6.8168,0.0000,0.0000,73,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0016,6.8168,6.8168,,,73,1,0.2149,0.3601,D50,25.247,44.334,21,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0017,177.4392,177.4392,19.8608,19.8608,85,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0017,177.4392,177.4392,,,85,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0017,39.5088,39.5088,9.9304,9.9304,86,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0017,39.5088,39.5088,,,86,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0017,24.0376,24.0376,4.9652,4.9652,68,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0017,24.0376,24.0376,,,68,1,0.2814,0.4129,C10,22.722,43.182,20,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0018,37.0928,37.0928,49.9018,49.9018,90,1,0.2170,0.4217,C10,26.295,46.662,17,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0018,37.0928,37.0928,,,90,1,0.2170,0.4217,C10,26.295,46.662,17,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0018,108.5456,108.5456,49.9018,49.9018,87,1,0.2170,0.4217,C10,26.295,46.662,17,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0018,108.5456,108.5456,,,87,1,0.2170,0.4217,C10,26.295,46.662,17,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0018,108.5456,108.5456,49.9018,49.9018,79,1,0.2170,0.4217,C10,26.295,46.662,17,150
