scope,size,arrival,rule,beta,n,mean_twt_rule,mean_twt_oracle,abs_gap,pct_headroom,pct_headroom_wonly,wins,ties,losses,util_pooled,util_worst,window_bh,makespan,incomplete_at_window,n_wos
c9,400,a200,atc,0.5,30,206.1891,206.1891,0.0000,0.0000,0.0000,0,30,0,0.4107,0.6919,42.270,74.376,32.633,400.000
c9,400,a200,atc,1.0,30,209.6295,209.6295,0.0000,0.0000,0.0000,0,30,0,0.4107,0.6919,42.270,74.376,32.633,400.000
c9,400,a200,edd,0.25,30,203.6286,203.6286,0.0000,0.0000,,0,30,0,0.4107,0.6919,42.270,74.376,32.633,400.000
c9,400,a200,edd,0.5,30,206.1891,206.1891,0.0000,0.0000,,0,30,0,0.4107,0.6919,42.270,74.376,32.633,400.000
c9,400,a200,edd,1.0,30,209.6295,209.6295,0.0000,0.0000,,0,30,0,0.4107,0.6919,42.270,74.376,32.633,400.000
c9,400,a300,atc,0.25,30,193.1343,193.0749,0.0594,0.0307,0.0747,3,25,2,0.6190,1.0032,28.364,64.251,50.867,400.000
c9,400,a300,atc,0.5,30,182.0546,182.0575,-0.0030,-0.0016,-0.0239,2,26,2,0.6190,1.0032,28.364,64.251,50.867,400.000
c9,400,a300,atc,1.0,30,150.3160,150.1866,0.1294,0.0861,0.0554,2,27,1,0.6190,1.0032,28.364,64.251,50.867,400.000
c9,400,a300,edd,0.25,30,192.9320,193.1155,-0.1835,-0.0951,,0,28,2,0.6190,1.0032,28.364,64.251,50.867,400.000
c9,400,a300,edd,0.5,30,181.8523,181.8156,0.0367,0.0202,,0,30,0,0.6190,1.0032,28.364,64.251,50.867,400.000
c9,400,a300,edd,1.0,30,150.1681,150.2088,-0.0406,-0.0271,,1,27,2,0.6190,1.0032,28.364,64.251,50.867,400.000
c12,150,a125,atc,0.25,30,622.0537,622.0537,0.0000,0.0000,0.0000,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a125,atc,0.5,30,584.2377,584.2377,0.0000,0.0000,0.0000,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a125,atc,1.0,30,398.7782,398.7782,0.0000,0.0000,0.0000,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a125,edd,0.25,30,622.0537,622.0537,0.0000,0.0000,,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a125,edd,0.5,30,584.2377,584.2377,0.0000,0.0000,,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a125,edd,1.0,30,398.7782,398.7782,0.0000,0.0000,,0,30,0,0.7052,1.7735,8.007,80.398,55.667,150.000
c12,150,a150,atc,0.25,30,570.8795,570.8795,0.0000,0.0000,0.0000,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a150,atc,0.5,30,545.4915,545.4915,0.0000,0.0000,0.0000,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a150,atc,1.0,30,398.9571,398.9571,0.0000,0.0000,0.0000,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a150,edd,0.25,30,570.8795,570.8795,0.0000,0.0000,,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a150,edd,0.5,30,545.4915,545.4915,0.0000,0.0000,,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a150,edd,1.0,30,398.9571,398.9571,0.0000,0.0000,,0,30,0,0.7058,1.7748,8.000,79.691,46.667,150.000
c12,150,a200,atc,0.25,30,716.7125,716.7125,0.0000,0.0000,0.0000,0,30,0,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a200,atc,0.5,30,716.2786,716.2786,0.0000,0.0000,0.0000,0,30,0,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a200,atc,1.0,30,596.6286,596.9935,-0.3649,-0.0612,0.0000,0,29,1,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a200,edd,0.25,30,716.7125,716.7125,0.0000,0.0000,,0,30,0,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a200,edd,0.5,30,716.2786,716.2786,0.0000,0.0000,,0,30,0,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a200,edd,1.0,30,596.6286,596.9935,-0.3649,-0.0612,,0,29,1,0.7118,1.6661,8.000,71.762,38.367,150.000
c12,150,a300,atc,0.25,30,433.4436,433.1961,0.2475,0.0571,0.0000,1,29,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,150,a300,atc,0.5,30,411.6793,411.4200,0.2593,0.0630,0.0000,1,29,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,150,a300,atc,1.0,30,373.4153,373.4035,0.0119,0.0032,0.0000,0,30,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,150,a300,edd,0.25,30,433.1055,433.1038,0.0017,0.0004,,0,30,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,150,a300,edd,0.5,30,411.3412,411.3412,0.0000,0.0000,,0,30,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,150,a300,edd,1.0,30,373.3317,373.3247,0.0071,0.0019,,0,30,0,0.6592,1.4977,8.000,71.599,31.600,150.000
c12,400,a125,atc,0.25,30,1367.8403,1367.8133,0.0270,0.0020,0.0000,1,29,0,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a125,atc,0.5,30,1303.0280,1303.0010,0.0270,0.0021,0.0000,1,29,0,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a125,atc,1.0,30,1142.4674,1142.4792,-0.0117,-0.0010,0.0000,1,28,1,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a125,edd,0.25,30,1368.2064,1367.7937,0.4127,0.0302,,2,28,0,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a125,edd,0.5,30,1303.3941,1302.9814,0.4127,0.0317,,2,28,0,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a125,edd,1.0,30,1142.8426,1142.8007,0.0419,0.0037,,1,29,0,0.7581,1.3499,19.375,94.224,92.467,400.000
c12,400,a150,atc,0.25,30,1384.7007,1384.6659,0.0348,0.0025,-0.0072,2,25,3,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a150,atc,0.5,30,1383.2620,1383.3246,-0.0626,-0.0045,-0.0135,1,24,5,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a150,atc,1.0,30,1064.5825,1064.3349,0.2476,0.0233,-0.0054,2,25,3,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a150,edd,0.25,30,1384.7024,1384.0025,0.6999,0.0505,,4,24,2,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a150,edd,0.5,30,1383.0131,1382.8834,0.1297,0.0094,,1,26,3,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a150,edd,1.0,30,1063.8747,1063.6567,0.2181,0.0205,,2,28,0,0.9097,1.6199,16.146,92.514,108.033,400.000
c12,400,a200,atc,0.25,30,1403.2032,1401.6640,1.5392,0.1097,0.0113,7,21,2,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a200,atc,0.5,30,1344.5468,1343.3488,1.1980,0.0891,0.0001,7,19,4,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a200,atc,1.0,30,1150.9382,1150.9453,-0.0072,-0.0006,-0.0268,4,23,3,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a200,edd,0.25,30,1401.0406,1399.7068,1.3338,0.0952,,8,21,1,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a200,edd,0.5,30,1342.8636,1341.8475,1.0160,0.0757,,8,19,3,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a200,edd,1.0,30,1149.4967,1149.1299,0.3668,0.0319,,4,24,2,1.2013,2.1884,12.028,96.564,135.567,400.000
c12,400,a300,atc,0.25,30,1542.1865,1533.0435,9.1430,0.5929,0.1388,19,7,4,1.7790,3.0820,8.188,89.333,185.833,400.000
c12,400,a300,atc,0.5,30,1506.9709,1498.2561,8.7148,0.5783,0.1102,16,8,6,1.7790,3.0820,8.188,89.333,185.833,400.000
c12,400,a300,atc,1.0,30,1371.9336,1360.9387,10.9949,0.8014,-0.0734,18,5,7,1.7790,3.0820,8.188,89.333,185.833,400.000
c12,400,a300,edd,0.25,30,1534.8190,1524.7177,10.1014,0.6581,,19,11,0,1.7790,3.0820,8.188,89.333,185.833,400.000
c12,400,a300,edd,0.5,30,1499.2830,1490.2621,9.0209,0.6017,,16,13,1,1.7790,3.0820,8.188,89.333,185.833,400.000
c12,400,a300,edd,1.0,30,1363.3200,1354.6326,8.6873,0.6372,,17,9,4,1.7790,3.0820,8.188,89.333,185.833,400.000
c5,150,a125,atc,0.25,30,24.5659,24.5659,0.0000,0.0000,0.0000,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a125,atc,0.5,30,17.6605,17.6605,0.0000,0.0000,0.0000,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a125,atc,1.0,30,38.1406,38.1406,0.0000,0.0000,0.0000,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a125,edd,0.25,30,24.5659,24.5659,0.0000,0.0000,,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a125,edd,0.5,30,17.6605,17.6605,0.0000,0.0000,,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a125,edd,1.0,30,38.1406,38.1406,0.0000,0.0000,,0,30,0,0.3842,0.8974,11.680,37.362,32.800,150.000
c5,150,a150,atc,0.25,30,23.7982,23.7982,0.0000,0.0000,0.0000,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a150,atc,0.5,30,24.6648,24.6648,0.0000,0.0000,0.0000,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a150,atc,1.0,30,38.1406,38.1406,0.0000,0.0000,0.0000,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a150,edd,0.25,30,23.7982,23.7982,0.0000,0.0000,,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a150,edd,0.5,30,24.6648,24.6648,0.0000,0.0000,,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a150,edd,1.0,30,38.1406,38.1406,0.0000,0.0000,,0,30,0,0.4610,1.0769,9.734,36.312,38.200,150.000
c5,150,a200,atc,0.25,30,22.9576,21.6308,1.3267,5.7791,0.0000,1,29,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a200,atc,0.5,30,16.0448,16.0448,0.0000,0.0000,0.0000,0,30,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a200,atc,1.0,30,39.2550,39.2550,0.0000,0.0000,0.0000,0,30,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a200,edd,0.25,30,21.6570,21.6308,0.0262,0.1210,,0,30,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a200,edd,0.5,30,16.0448,16.0448,0.0000,0.0000,,0,30,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a200,edd,1.0,30,39.2550,39.2482,0.0068,0.0174,,0,30,0,0.5799,1.4716,8.026,38.268,38.100,150.000
c5,150,a300,atc,0.25,30,9.7766,9.7766,0.0000,0.0000,0.0000,0,30,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,150,a300,atc,0.5,30,12.1199,12.0227,0.0971,0.8015,0.0000,1,29,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,150,a300,atc,1.0,30,60.1206,60.0159,0.1048,0.1743,0.0000,1,29,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,150,a300,edd,0.25,30,9.7766,9.7766,0.0000,0.0000,,0,30,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,150,a300,edd,0.5,30,12.1199,12.0321,0.0877,0.7239,,1,29,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,150,a300,edd,1.0,30,60.1310,59.9570,0.1740,0.2893,,2,28,0,0.5745,1.3476,8.000,35.519,22.400,150.000
c5,400,a125,atc,0.25,30,72.4887,71.2083,1.2803,1.7663,0.0000,1,29,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a125,atc,0.5,30,79.6557,78.3753,1.2803,1.6074,0.0000,1,29,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a125,atc,1.0,30,115.6147,115.5957,0.0190,0.0164,0.0000,0,30,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a125,edd,0.25,30,71.7369,70.9405,0.7965,1.1103,,1,29,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a125,edd,0.5,30,78.9039,78.1075,0.7965,1.0094,,1,29,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a125,edd,1.0,30,115.5957,115.5957,0.0000,0.0000,,0,30,0,0.4065,0.7884,30.320,59.281,37.900,400.000
c5,400,a150,atc,0.25,30,93.1520,91.6536,1.4983,1.6085,0.0000,5,25,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a150,atc,0.5,30,94.2737,93.6942,0.5795,0.6147,0.0000,3,27,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a150,atc,1.0,30,132.9212,132.4853,0.4359,0.3280,0.0000,1,29,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a150,edd,0.25,30,92.5542,91.6536,0.9006,0.9730,,2,28,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a150,edd,0.5,30,94.3428,93.6942,0.6486,0.6875,,2,28,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a150,edd,1.0,30,132.3558,132.3316,0.0242,0.0183,,0,30,0,0.4878,0.9460,25.266,55.646,45.467,400.000
c5,400,a200,atc,0.25,30,50.6802,48.4444,2.2358,4.4116,0.0000,6,24,0,0.6306,1.2120,19.492,57.997,63.267,400.000
c5,400,a200,atc,0.5,30,45.3072,43.3787,1.9285,4.2565,0.0000,5,25,0,0.6306,1.2120,19.492,57.997,63.267,400.000
