iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.000000,0.000000,0.000000,0,454674,-13.063000,0.398389,0.386454,0.386454,0.275438,926.950467,6135.639633,nan,159.115826
1,150,1228800,0.000000,0.000000,0.000000,0,455817,-7.426965,0.398389,0.386454,0.386454,0.275438,928.141267,6307.002533,nan,165.427313
2,225,1843200,0.000000,0.000000,0.000000,0,454316,-7.332357,0.398389,0.386454,0.386454,0.275438,942.045067,8023.052267,nan,166.487023
3,300,2457600,0.000000,0.000000,0.000000,0,457094,-7.206111,0.398389,0.386454,0.386454,0.275438,926.194200,4351.490600,nan,170.594978
4,375,3072000,0.000000,0.000000,0.000000,0,455098,-6.552815,0.398389,0.386454,0.386454,0.275438,951.860333,11104.110667,nan,163.375587
5,450,3686400,0.000000,0.000000,0.000000,0,455114,-7.264323,0.398389,0.386454,0.386454,0.275438,924.075400,7413.505667,nan,164.966853
6,525,4300800,0.000000,0.000000,0.000000,0,451521,-7.048524,0.398389,0.386454,0.386454,0.275438,924.426200,5351.065333,nan,161.088754
7,600,4915200,0.000000,0.000000,0.000000,0,454931,-6.708103,0.398389,0.386454,0.386454,0.275438,928.438067,8568.388067,nan,159.448094
