scope,rule,u,beta,util_pool,util_worst,inc_atc_frac,inc_atc,n_wos,n,mean_rule,mean_oracle,pct_headroom,wins,ties,losses
pool_5+10,atc,70,0.25,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1247.5086,1056.7665,15.2898,15,4,5
pool_5+10,edd,70,0.25,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1322.4509,1056.7665,20.0903,13,8,3
pool_5+10,atc,70,0.5,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1442.5790,1206.6011,16.3581,17,5,2
pool_5+10,edd,70,0.5,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1549.6461,1206.6011,22.1370,14,7,3
pool_5+10,atc,70,0.75,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1578.9717,1308.0968,17.1551,15,5,4
pool_5+10,edd,70,0.75,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1718.4841,1308.0968,23.8808,15,5,4
pool_5+10,atc,70,1.0,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1762.6286,1419.9455,19.4416,15,7,2
pool_5+10,edd,70,1.0,0.7078,1.0513,0.0352,123.4583,4426.9583,24,1902.0678,1419.9455,25.3473,13,4,7
pool_5+10,atc,90,0.25,0.9053,1.3287,0.1038,600.2500,5709.6667,24,2502.5127,1193.2455,52.3181,24,0,0
pool_5+10,edd,90,0.25,0.9053,1.3287,0.1038,600.2500,5709.6667,24,2573.8466,1193.2455,53.6396,24,0,0
pool_5+10,atc,90,0.5,0.9053,1.3287,0.1038,600.2500,5709.6667,24,2932.1696,1329.7728,54.6488,24,0,0
pool_5+10,edd,90,0.5,0.9053,1.3287,0.1038,600.2500,5709.6667,24,3055.5981,1329.7728,56.4808,24,0,0
pool_5+10,atc,90,0.75,0.9053,1.3287,0.1038,600.2500,5709.6667,24,3364.1787,1496.2429,55.5243,24,0,0
pool_5+10,edd,90,0.75,0.9053,1.3287,0.1038,600.2500,5709.6667,24,3536.2537,1496.2429,57.6885,24,0,0
pool_5+10,atc,90,1.0,0.9053,1.3287,0.1038,600.2500,5709.6667,24,4265.8777,1749.3671,58.9916,24,0,0
pool_5+10,edd,90,1.0,0.9053,1.3287,0.1038,600.2500,5709.6667,24,4475.4398,1749.3671,60.9118,24,0,0
pool_5+10,atc,100,0.25,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,5780.9925,1463.9643,74.6762,24,0,0
pool_5+10,edd,100,0.25,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,6365.5073,1463.9643,77.0016,24,0,0
pool_5+10,atc,100,0.5,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,6931.9140,1685.3509,75.6871,24,0,0
pool_5+10,edd,100,0.5,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,7794.3025,1685.3509,78.3771,24,0,0
pool_5+10,atc,100,0.75,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,8091.6674,1928.7693,76.1635,24,0,0
pool_5+10,edd,100,0.75,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,9180.0255,1928.7693,78.9895,24,0,0
pool_5+10,atc,100,1.0,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,10047.8357,2259.0374,77.5172,24,0,0
pool_5+10,edd,100,1.0,0.9972,1.4867,0.1584,1060.7500,6310.5417,24,11518.0529,2259.0374,80.3870,24,0,0
