campus,u,beta,inst_id,n_wos,util_pool,util_worst,inc_atc,inc_atc_frac,makespan_atc,twt_atc,twt_edd,twt_oracle,feas_atc,feas_edd,feas_oracle
9,70,0.25,c09_storm2_w80_u70_0000,1582,0.7093488131313131,0.9728227083333334,75,0.04740834386852086,135.6646,1181.7671999999998,1182.716,1182.6847999999995,True,True,True
9,70,0.5,c09_storm2_w80_u70_0000,1582,0.7093488131313131,0.9728227083333334,75,0.04740834386852086,135.6646,1155.8959999999997,1156.8447999999999,1156.8135999999995,True,True,True
9,70,0.75,c09_storm2_w80_u70_0000,1582,0.7093488131313131,0.9728227083333334,75,0.04740834386852086,135.6646,1244.7415999999998,1245.6903999999995,1248.6575999999995,True,True,True
9,70,1.0,c09_storm2_w80_u70_0000,1582,0.7093488131313131,0.9728227083333334,75,0.04740834386852086,135.6646,1191.8044,1192.7531999999997,1195.5707999999995,True,True,True
9,70,0.25,c09_storm2_w80_u70_0001,1604,0.6973746212121215,0.9811799999999999,75,0.046758104738154616,121.024,1698.5148000000004,1698.5148000000004,1698.1988000000006,True,True,True
9,70,0.5,c09_storm2_w80_u70_0001,1604,0.6973746212121215,0.9811799999999999,75,0.046758104738154616,121.024,1637.7092000000002,1637.7092000000002,1637.4244000000003,True,True,True
9,70,0.75,c09_storm2_w80_u70_0001,1604,0.6973746212121215,0.9811799999999999,75,0.046758104738154616,121.024,1623.1908000000003,1623.1908000000003,1622.9060000000004,True,True,True
9,70,1.0,c09_storm2_w80_u70_0001,1604,0.6973746212121215,0.9811799999999999,75,0.046758104738154616,121.024,1638.3692,1638.3692,1638.7180000000003,True,True,True
9,70,0.25,c09_storm2_w80_u70_0002,1483,0.6048981818181816,0.9268660714285714,49,0.033041132838840186,117.49520000000001,963.7571999999999,963.7571999999999,963.7571999999999,True,True,True
9,70,0.5,c09_storm2_w80_u70_0002,1483,0.6048981818181816,0.9268660714285714,49,0.033041132838840186,117.49520000000001,1005.6947999999999,1005.6947999999999,1005.6947999999999,True,True,True
9,70,0.75,c09_storm2_w80_u70_0002,1483,0.6048981818181816,0.9268660714285714,49,0.033041132838840186,117.49520000000001,963.9035999999998,963.9035999999998,963.9035999999998,True,True,True
9,70,1.0,c09_storm2_w80_u70_0002,1483,0.6048981818181816,0.9268660714285714,49,0.033041132838840186,117.49520000000001,889.1111999999999,889.1111999999999,889.1111999999999,True,True,True
9,70,0.25,c09_storm2_w80_u70_0003,1613,0.7101394949494947,0.946664553571428,76,0.047117172969621826,113.6423,1333.6415999999995,1296.6824000000001,1265.4791999999998,True,True,True
9,70,0.5,c09_storm2_w80_u70_0003,1613,0.7101394949494947,0.946664553571428,76,0.047117172969621826,113.6423,1396.7691999999997,1356.4472,1330.438,True,True,True
9,70,0.75,c09_storm2_w80_u70_0003,1613,0.7101394949494947,0.946664553571428,76,0.047117172969621826,113.6423,1401.4579999999999,1365.1487999999997,1328.6483999999998,True,True,True
9,70,1.0,c09_storm2_w80_u70_0003,1613,0.7101394949494947,0.946664553571428,76,0.047117172969621826,113.6423,1307.2863999999997,1238.8643999999997,1194.3596,True,True,True
9,70,0.25,c09_storm2_w80_u70_0004,1594,0.7305976893939394,0.9460411160714285,72,0.0451693851944793,128.5999,1259.744,1250.2976000000003,1253.4016000000001,True,True,True
9,70,0.5,c09_storm2_w80_u70_0004,1594,0.7305976893939394,0.9460411160714285,72,0.0451693851944793,128.5999,1226.1336,1217.8968000000004,1221.7968000000005,True,True,True
9,70,0.75,c09_storm2_w80_u70_0004,1594,0.7305976893939394,0.9460411160714285,72,0.0451693851944793,128.5999,1270.2784,1262.8568000000005,1258.7816000000003,True,True,True
9,70,1.0,c09_storm2_w80_u70_0004,1594,0.7305976893939394,0.9460411160714285,72,0.0451693851944793,128.5999,1702.1256,1673.5159999999998,1675.5292000000002,True,True,True
9,70,0.25,c09_storm2_w80_u70_0005,1599,0.723009835858586,0.9440341964285713,71,0.04440275171982489,129.0009,1170.7088,1179.4308,1177.0156,True,True,True
9,70,0.5,c09_storm2_w80_u70_0005,1599,0.723009835858586,0.9440341964285713,71,0.04440275171982489,129.0009,1345.6984,1355.9651999999999,1360.8092,True,True,True
9,70,0.75,c09_storm2_w80_u70_0005,1599,0.723009835858586,0.9440341964285713,71,0.04440275171982489,129.0009,1130.7728000000002,1140.6299999999997,1152.5124,True,True,True
