cell,decider,seed,true_class,n_orders,n_attained,attain_pct,twt_per_inst
c9_storm2_u100_b1.00_r0.25,rule_sup,308,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,309,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,309,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,310,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,310,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,310,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,301,1,1750,1482,84.68571428571428,1585.7030399999999
c9_storm2_u100_b1.00_r0.25,m0_alone,301,2,5436,5315,97.77409860191317,411.99028000000015
c9_storm2_u100_b1.00_r0.25,m0_alone,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,302,1,1750,1477,84.4,1597.19528
c9_storm2_u100_b1.00_r0.25,m0_alone,302,2,5436,5298,97.46136865342163,403.4437200000002
c9_storm2_u100_b1.00_r0.25,m0_alone,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,303,1,1750,1481,84.62857142857143,1584.9500799999998
c9_storm2_u100_b1.00_r0.25,m0_alone,303,2,5436,5265,96.8543046357616,510.61132000000026
c9_storm2_u100_b1.00_r0.25,m0_alone,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,304,1,1750,1481,84.62857142857143,1592.59312
c9_storm2_u100_b1.00_r0.25,m0_alone,304,2,5436,5334,98.12362030905078,388.74008000000015
c9_storm2_u100_b1.00_r0.25,m0_alone,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,305,1,1750,1484,84.8,1595.44352
c9_storm2_u100_b1.00_r0.25,m0_alone,305,2,5436,5266,96.87270051508462,442.78680000000014
c9_storm2_u100_b1.00_r0.25,m0_alone,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,306,1,1750,1476,84.34285714285714,1596.8811199999996
c9_storm2_u100_b1.00_r0.25,m0_alone,306,2,5436,5317,97.81089036055924,305.34912000000026
c9_storm2_u100_b1.00_r0.25,m0_alone,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,306,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,307,1,1750,1475,84.28571428571429,1593.2608
c9_storm2_u100_b1.00_r0.25,m0_alone,307,2,5436,5312,97.71891096394408,377.6413600000002
c9_storm2_u100_b1.00_r0.25,m0_alone,307,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,307,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,308,1,1750,1472,84.11428571428571,1600.3919999999998
c9_storm2_u100_b1.00_r0.25,m0_alone,308,2,5436,5343,98.28918322295806,271.47080000000005
c9_storm2_u100_b1.00_r0.25,m0_alone,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,309,1,1750,1482,84.68571428571428,1589.0815199999997
c9_storm2_u100_b1.00_r0.25,m0_alone,309,2,5436,5320,97.86607799852833,428.72304
c9_storm2_u100_b1.00_r0.25,m0_alone,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,310,1,1750,1479,84.51428571428572,1597.96288
c9_storm2_u100_b1.00_r0.25,m0_alone,310,2,5436,5268,96.90949227373068,440.3932800000001
c9_storm2_u100_b1.00_r0.25,m0_alone,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,310,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,301,1,1750,1486,84.91428571428571,1586.13936
c9_storm2_u100_b1.00_r0.25,m0_sup,301,2,5436,5340,98.23399558498896,245.2880000000001
c9_storm2_u100_b1.00_r0.25,m0_sup,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,302,1,1750,1482,84.68571428571428,1590.3593600000002
c9_storm2_u100_b1.00_r0.25,m0_sup,302,2,5436,5330,98.05003679175864,269.8426000000001
c9_storm2_u100_b1.00_r0.25,m0_sup,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,303,1,1750,1482,84.68571428571428,1587.09064
c9_storm2_u100_b1.00_r0.25,m0_sup,303,2,5436,5308,97.64532744665195,311.3165600000002
c9_storm2_u100_b1.00_r0.25,m0_sup,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,304,1,1750,1485,84.85714285714286,1592.2498400000002
c9_storm2_u100_b1.00_r0.25,m0_sup,304,2,5436,5356,98.52832965415747,236.888
c9_storm2_u100_b1.00_r0.25,m0_sup,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,305,1,1750,1485,84.85714285714286,1586.77216
c9_storm2_u100_b1.00_r0.25,m0_sup,305,2,5436,5314,97.75570272259014,305.8487600000002
c9_storm2_u100_b1.00_r0.25,m0_sup,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,306,1,1750,1479,84.51428571428572,1593.60984
c9_storm2_u100_b1.00_r0.25,m0_sup,306,2,5436,5341,98.252391464312,263.2920800000001
