cell,decider,true_class,scope,n_orders,n_seeds,attain_pct_mean,attain_pct_sd,twt_per_inst_mean,twt_per_inst_sd
c9_storm2_u100_b1.00_r0.25,m1_alone,4,cm,260,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,4,pm,11455,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,0,cm,4335,10,93.37024221453288,0.054783585176646374,1667.6696519999998,9.163373953911075
c9_storm2_u100_b1.00_r0.25,m1_alone,0,pm,18304,10,98.79097465034965,0.056037984038282515,592.791372,39.8093924110983
c9_storm2_u100_b1.00_r0.25,oracle,1,cm,1750,10,84.51428571428572,0.0,1609.4729599999998,2.2737367544323206e-13
c9_storm2_u100_b1.00_r0.25,oracle,1,pm,0,10,nan,nan,0.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,2,cm,1593,10,98.93283113622098,1.4210854715202004e-14,46.62968,0.0
c9_storm2_u100_b1.00_r0.25,oracle,2,pm,3843,10,99.03721051262036,1.4210854715202004e-14,158.91604,0.0
c9_storm2_u100_b1.00_r0.25,oracle,3,cm,732,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,3,pm,3006,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,4,cm,260,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,4,pm,11455,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,oracle,0,cm,4335,10,93.35640138408304,0.0,1656.1026399999998,0.0
c9_storm2_u100_b1.00_r0.25,oracle,0,pm,18304,10,99.7978583916084,1.4210854715202004e-14,158.91604,0.0
c9_storm2_u90_b1.00_r0.25,rule,1,cm,1510,3,85.16556291390728,0.0,1172.21992,0.0
c9_storm2_u90_b1.00_r0.25,rule,1,pm,0,3,nan,nan,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,2,cm,1311,3,98.55072463768117,1.4210854715202004e-14,94.62772,1.4210854715202004e-14
c9_storm2_u90_b1.00_r0.25,rule,2,pm,3429,3,96.06299212598425,0.0,485.1548000000001,0.0
c9_storm2_u90_b1.00_r0.25,rule,3,cm,702,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,3,pm,2791,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,4,cm,203,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,4,pm,10313,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule,0,cm,3726,3,93.4782608695652,1.4210854715202004e-14,1266.84764,0.0
c9_storm2_u90_b1.00_r0.25,rule,0,pm,16533,3,99.18345127925966,0.0,485.1548000000001,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,1,cm,1510,3,84.96688741721854,0.0,1172.0038399999999,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,1,pm,0,3,nan,nan,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,2,cm,1311,3,98.55072463768117,1.4210854715202004e-14,94.62772,1.4210854715202004e-14
c9_storm2_u90_b1.00_r0.25,rule_sup,2,pm,3429,3,97.11286089238847,1.4210854715202004e-14,352.26056,5.684341886080802e-14
c9_storm2_u90_b1.00_r0.25,rule_sup,3,cm,702,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,3,pm,2791,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,4,cm,203,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,4,pm,10313,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,0,cm,3726,3,93.39774557165862,0.0,1266.63156,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,0,pm,16533,3,99.40119760479043,0.0,352.26056,5.684341886080802e-14
c9_storm2_u90_b1.00_r0.25,m0_alone,1,cm,1510,3,85.32008830022075,0.06243768487298925,1156.1451733333333,1.5188039537596112
c9_storm2_u90_b1.00_r0.25,m0_alone,1,pm,0,3,nan,nan,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,2,cm,1311,3,98.5761505212306,0.03595762935095807,96.92206666666665,3.8404181974131792
c9_storm2_u90_b1.00_r0.25,m0_alone,2,pm,3429,3,98.62933799941675,0.1037919534561192,178.82341333333338,4.121389092214202
c9_storm2_u90_b1.00_r0.25,m0_alone,3,cm,702,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,3,pm,2791,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,4,cm,203,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,4,pm,10313,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m0_alone,0,cm,3726,3,93.54983002325997,0.033473406573393476,1253.06724,5.311942380410523
c9_storm2_u90_b1.00_r0.25,m0_alone,0,pm,16533,3,99.71572007500151,0.021526801451702555,178.82341333333338,4.121389092214202
