cell,decider,true_class,scope,n_orders,n_seeds,attain_pct_mean,attain_pct_sd,twt_per_inst_mean,twt_per_inst_sd
c9_storm2_u90_b1.00_r0.25,m1_alone,4,all,10516,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,m1_alone,0,all,20259,3,98.61460749954752,0.006156370644770295,1454.94924,14.865633671400333
c9_storm2_u90_b1.00_r0.25,oracle,1,all,1510,3,85.29801324503312,0.0,1171.08032,0.0
c9_storm2_u90_b1.00_r0.25,oracle,2,all,4740,3,98.79746835443036,1.4210854715202004e-14,260.54128,0.0
c9_storm2_u90_b1.00_r0.25,oracle,3,all,3493,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,oracle,4,all,10516,3,100.0,0.0,0.0,0.0
c9_storm2_u90_b1.00_r0.25,oracle,0,all,20259,3,98.62283429586849,1.4210854715202004e-14,1431.6215999999997,2.2737367544323206e-13
c9_storm2_u100_b0.75_r0.25,rule,1,all,1907,3,86.05138961719979,0.0,1565.9268799999998,0.0
c9_storm2_u100_b0.75_r0.25,rule,2,all,4489,3,90.53241256404544,0.0,1664.26832,0.0
c9_storm2_u100_b0.75_r0.25,rule,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,rule,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,rule,0,all,22639,3,96.94774504174212,0.0,3230.1951999999997,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,1,all,1907,3,86.15626638699528,0.0,1560.77496,2.2737367544323206e-13
c9_storm2_u100_b0.75_r0.25,rule_sup,2,all,4489,3,93.29472042771219,1.4210854715202004e-14,865.2706800000002,1.1368683772161603e-13
c9_storm2_u100_b0.75_r0.25,rule_sup,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,rule_sup,0,all,22639,3,97.50430672732894,1.4210854715202004e-14,2426.0456400000003,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,1,all,1907,3,86.08634854046495,0.13080431346875757,1551.9990133333333,4.998132261430948
c9_storm2_u100_b0.75_r0.25,m0_alone,2,all,4489,3,96.20553946684488,0.3729079833515952,544.8702933333334,41.5975611805671
c9_storm2_u100_b0.75_r0.25,m0_alone,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m0_alone,0,all,22639,3,98.07559226703181,0.06711881455330139,2096.8693066666665,37.57655300985912
c9_storm2_u100_b0.75_r0.25,m0_sup,1,all,1907,3,86.19122531026045,0.13080431346876265,1551.0554933333333,6.106285283112437
c9_storm2_u100_b0.75_r0.25,m0_sup,2,all,4489,3,97.7203534565976,0.2784337010359065,288.1849200000001,34.30932438317412
c9_storm2_u100_b0.75_r0.25,m0_sup,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m0_sup,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m0_sup,0,all,22639,3,98.38479320346896,0.04509443241342533,1839.2404133333332,29.116085685093314
c9_storm2_u100_b0.75_r0.25,m1_alone,1,all,1907,3,85.94651284740429,0.0856315239567607,1582.9718400000002,11.81529824916823
c9_storm2_u100_b0.75_r0.25,m1_alone,2,all,4489,3,96.91096755030816,0.021002651850789807,461.96170666666677,5.47164990832646
c9_storm2_u100_b0.75_r0.25,m1_alone,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m1_alone,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,m1_alone,0,all,22639,3,98.20368979784148,0.01101832350302113,2044.933546666667,17.275586192229866
c9_storm2_u100_b0.75_r0.25,oracle,1,all,1907,3,86.05138961719979,0.0,1573.84032,2.2737367544323206e-13
c9_storm2_u100_b0.75_r0.25,oracle,2,all,4489,3,98.75250612608598,1.4210854715202004e-14,215.96292000000003,0.0
c9_storm2_u100_b0.75_r0.25,oracle,3,all,5174,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,oracle,4,all,11069,3,100.0,0.0,0.0,0.0
c9_storm2_u100_b0.75_r0.25,oracle,0,all,22639,3,98.57767569238923,0.0,1789.80324,0.0
