cell,decider,seed,n_inst,n_orders,n_attained,attain_pct,twt_true_sum,twt_true_mean_per_inst,access_penalty_sum
c9_storm2_u100_b1.00_r0.25,m1_alone,305,10,22639,22116,97.68982728919121,23331.785999999996,2333.1785999999997,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,306,10,22639,22156,97.86651353858386,21766.772800000006,2176.677280000001,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,307,10,22639,22132,97.76050178894828,21944.394400000005,2194.4394400000006,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,308,10,22639,22126,97.73399885153938,22647.435199999996,2264.7435199999995,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,309,10,22639,22126,97.73399885153938,22907.6968,2290.7696800000003,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,310,10,22639,22125,97.72958169530456,22534.536000000007,2253.4536000000007,0.0
c9_storm2_u100_b1.00_r0.25,oracle,301,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,302,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,303,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,304,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,305,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,306,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,307,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,308,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,309,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u100_b1.00_r0.25,oracle,310,10,22639,22314,98.5644242236848,18150.186800000003,1815.0186800000004,0.0
c9_storm2_u90_b1.00_r0.25,rule,301,10,20259,19881,98.13416259440248,17520.024400000002,1752.0024400000002,0.0
c9_storm2_u90_b1.00_r0.25,rule,302,10,20259,19881,98.13416259440248,17520.024400000002,1752.0024400000002,0.0
c9_storm2_u90_b1.00_r0.25,rule,303,10,20259,19881,98.13416259440248,17520.024400000002,1752.0024400000002,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,301,10,20259,19914,98.29705316155783,16188.921199999997,1618.8921199999997,0.0
c9_storm2_u90_b1.00_r0.25,rule_sup,302,10,20259,19914,98.29705316155783,16188.921199999997,1618.8921199999997,0.0
