row_type,selection_reason,wo_id,trade,p_bh,class_recorded,hat_s,class_corrected,class_true,true_shift,w_star,d_star_bh,release_bh,due_recorded_bh,rank_rule,rank_m0,rank_trade_rule,rank_trade_m0,completion_rule_bh,completion_m0_bh,lateness_rule_bh,lateness_m0_bh,twt_contrib_rule,twt_contrib_m0,delta_twt,behaviour,miscorrected,harmed
order,largest mover among orders promoted and corrected away from the true class,W1200,D20,3.952800,4,0.350743,3.649257,4,-2,1.000000,214.737300,43.337300,214.737300,1274,1213,203,179,53.150500,51.854600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,True,False
order,largest mover among orders promoted and corrected toward the true class,W1273,D20,16.189200,4,0.330047,3.669953,2,2,4.000000,69.824100,45.824100,217.224100,1680,1221,272,180,83.300200,64.358900,13.476100,0.000000,53.904400,0.000000,-53.904400,promoted,False,False
order,largest increase in TWT* (the layer's worst call here),W1153,D20,12.084700,2,0.323164,1.676836,1,2,8.000000,49.383400,41.383400,65.383400,1074,1118,174,167,53.626900,55.470000,4.243500,6.086600,33.948000,48.692800,14.744800,promoted,False,True
order,largest |change in TWT*| overall (#2),W1515,D20,12.443000,4,0.261172,3.738828,2,2,4.000000,79.039800,55.039800,226.439800,1891,1463,298,202,89.616700,71.602900,10.576900,0.000000,42.307600,0.000000,-42.307600,promoted,False,False
order,largest mover among orders unchanged and corrected toward the true class,W1601,D30,8.843700,1,-0.008520,1.008520,1,0,8.000000,66.103000,58.103000,66.103000,1491,1440,399,388,67.162700,66.956700,1.059700,0.853700,8.477600,6.829600,-1.648000,unchanged,False,False
order,largest mover among orders demoted and corrected toward the true class,W1270,D20,0.721300,2,-0.137815,2.137815,3,-1,2.000000,125.611300,45.611300,69.611300,1178,1190,187,173,46.400400,47.649500,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,False,False
order,largest mover among orders demoted and corrected away from the true class,W877,D30,45.607200,2,-1.450779,3.450779,1,1,8.000000,40.289800,32.289800,56.289800,828,867,226,234,78.224200,79.569400,37.934400,39.279600,303.475200,314.236800,10.761600,demoted,True,True
instance_total,"TWT*(w*,d*) summed over all 2253 orders of c09_storm2_w80_u100_0020",__INSTANCE_TOTAL__,,,,,,,,,,,,,,,,,,,,2113.920800,1685.812000,-428.108800,,,
