campus,population,variant,own_class,n_events,dev_rate,frac_more_urgent_mean
10,all,all,1,8044,0.0,0.0
10,all,all,2,36788,0.9998,0.0095
10,all,all,3,63645,1.0,0.0553
10,all,all,4,499739,0.9999,0.1558
10,all,trade,1,8038,0.0,0.0
10,all,trade,2,36776,0.879,0.0074
10,all,trade,3,63632,0.9946,0.0808
10,all,trade,4,499696,0.9878,0.126
10,all,bldg,1,7874,0.0,0.0
10,all,bldg,2,36329,0.3508,0.015
10,all,bldg,3,63147,0.8503,0.0919
10,all,bldg,4,494497,0.9012,0.1478
10,all,trade_bldg,1,6434,0.0,0.0
10,all,trade_bldg,2,31208,0.0802,0.0143
10,all,trade_bldg,3,53699,0.4136,0.1149
10,all,trade_bldg,4,471447,0.6413,0.1051
10,all,trade_w30,1,8012,0.0,0.0
10,all,trade_w30,2,36745,0.7647,0.0077
10,all,trade_w30,3,63567,0.9855,0.074
10,all,trade_w30,4,499650,0.987,0.1021
10,all,trade_bldg_w30,1,5345,0.0,0.0
10,all,trade_bldg_w30,2,26760,0.0515,0.0152
10,all,trade_bldg_w30,3,47083,0.2999,0.1102
10,all,trade_bldg_w30,4,448168,0.51,0.1079
10,all,trade_size_w30,1,7906,0.0,0.0
10,all,trade_size_w30,2,36624,0.554,0.0123
10,all,trade_size_w30,3,63271,0.9341,0.1091
10,all,trade_size_w30,4,498059,0.6322,0.0782
12,cm,all,1,7165,0.0,0.0
12,cm,all,2,7260,1.0,0.1315
12,cm,all,3,15110,1.0,0.215
12,cm,all,4,15668,1.0,0.5365
12,cm,trade,1,7133,0.0,0.0
12,cm,trade,2,7239,0.9736,0.1254
12,cm,trade,3,15046,0.9417,0.1826
12,cm,trade,4,15594,0.9933,0.4986
12,cm,trade_w30,1,7090,0.0,0.0
12,cm,trade_w30,2,7221,0.9198,0.138
12,cm,trade_w30,3,14975,0.9209,0.2098
12,cm,trade_w30,4,15507,0.9829,0.5347
12,cm,trade_size_w30,1,6939,0.0,0.0
12,cm,trade_size_w30,2,7135,0.7294,0.1293
12,cm,trade_size_w30,3,14667,0.7655,0.1907
12,cm,trade_size_w30,4,15186,0.9515,0.5271
12,all,all,1,7165,0.0,0.0
12,all,all,2,7260,1.0,0.1106
12,all,all,3,15110,1.0,0.1804
12,all,all,4,24084,1.0,0.4457
12,all,trade,1,7134,0.0,0.0
12,all,trade,2,7239,0.9736,0.1078
12,all,trade,3,15047,0.9416,0.155
12,all,trade,4,23991,0.9923,0.4007
12,all,trade_w30,1,7098,0.0,0.0
12,all,trade_w30,2,7232,0.9184,0.1246
12,all,trade_w30,3,15016,0.9184,0.1856
12,all,trade_w30,4,23881,0.9807,0.4455
12,all,trade_size_w30,1,6953,0.0,0.0
12,all,trade_size_w30,2,7161,0.7267,0.1176
12,all,trade_size_w30,3,14751,0.7611,0.17
12,all,trade_size_w30,4,23485,0.9514,0.4402
