campus,population,variant,n_pop,n_events,n_events_no_candidate,dev_rate,n_deviations,frac_more_urgent_mean,frac_more_urgent_median,frac_more_urgent_p90,class_gap_mean_on_dev,n_candidates_median,n_candidates_p90,note,class_gap_1_share,class_gap_2_share,class_gap_3_share
12,cm,trade_bldg,0,0,,,,,,,,,,insufficient population or constant class,,,
12,cm,trade_w30,45204,44793,411.0,0.7964,35675.0,0.2775,0.2093,0.6667,2.086,115.0,217.0,,0.2587,0.3967,0.3447
12,cm,trade_bldg_w30,0,0,,,,,,,,,,insufficient population or constant class,,,
12,cm,trade_size_w30,45204,43927,1277.0,0.703,30881.0,0.2669,0.1818,0.6757,1.9058,25.0,74.0,,0.364,0.3661,0.2698
12,all,all,53620,53619,1.0,0.8664,46454.0,0.266,0.2132,0.4837,2.3622,2432.0,2753.0,,0.1563,0.3253,0.5184
12,all,trade,53620,53411,209.0,0.843,45023.0,0.2383,0.2167,0.5225,2.2593,299.0,617.0,,0.2047,0.3312,0.4641
12,all,bldg,0,0,,,,,,,,,,insufficient population or constant class,,,
12,all,trade_bldg,0,0,,,,,,,,,,insufficient population or constant class,,,
12,all,trade_w30,53620,53227,393.0,0.8239,43853.0,0.2692,0.2326,0.616,2.1954,128.0,233.0,,0.2276,0.3494,0.423
12,all,trade_bldg_w30,0,0,,,,,,,,,,insufficient population or constant class,,,
12,all,trade_size_w30,53620,52350,1270.0,0.7407,38774.0,0.2615,0.2,0.6364,1.9795,28.0,80.0,,0.342,0.3364,0.3216
