iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.049991,0.950009,0.247323,111460,450665,-9.747120,0.718254,0.385569,0.386454,0.572371,1115.389600,2416.175733,0.269792,211.245924
1,150,1228800,0.007385,0.992615,0.246933,111848,452949,-8.357314,0.684464,0.380257,0.386454,0.468483,1136.823867,2423.742067,0.246978,206.015447
2,225,1843200,0.004918,0.995082,0.247262,111625,451444,-8.996661,0.651635,0.380921,0.386454,0.316972,1344.065867,2397.565267,0.192589,237.550232
3,300,2457600,0.004493,0.995507,0.247609,111513,450360,-10.219792,0.652477,0.383282,0.386454,0.204129,1419.586333,2361.893533,0.009767,234.104216
4,375,3072000,0.004372,0.995628,0.248039,112077,451852,-11.694820,0.773208,0.385200,0.386454,0.309040,1666.056533,2338.380600,0.125281,238.297534
5,450,3686400,0.003824,0.996176,0.247941,111664,450366,-13.448668,0.743867,0.382839,0.386454,0.343348,1756.418667,2335.334867,0.095173,246.478601
6,525,4300800,0.003406,0.996594,0.247750,112155,452695,-13.387639,0.584295,0.385643,0.386454,0.183509,1808.666600,2343.666533,0.095090,244.449990
7,600,4915200,0.003076,0.996924,0.247466,111504,450584,-13.503436,0.665464,0.382027,0.386454,0.181312,1900.126733,2320.817467,0.116028,261.936157
