source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.25,0.5,c09_replay_400_0002,1.1097041198501874,1.8820224719101124,50,1145.7331999999997,605.3335999999999,648.0003999999999,1108.5328,556.5999999999999,648.0003999999999,1135.7336,435.0000000000001,915.0,673.866,0.2485207100591716,0.16666666666666666
replay,9,0.25,1.0,c09_replay_400_0002,1.1097041198501874,1.8820224719101124,50,897.5333999999999,499.0664,499.0664,897.5333999999999,481.4668,481.4668,1220.1337999999998,388.5336,388.5336,580.2665999999999,0.2485207100591716,0.08333333333333333
replay,9,0.25,0.0,c09_replay_400_0003,1.1334559523809524,2.3553625,142,1187.1332000000002,927.9344000000001,1187.1332000000002,1172.931,917.3298,1172.931,1329.8673999999999,549.0,1329.8673999999999,1057.0008,0.2515151515151515,0.10843373493975904
replay,9,0.25,0.25,c09_replay_400_0003,1.1334559523809524,2.3553625,142,1532.1328,1160.5336,1601.868,1532.1328,1158.9306,1601.868,1211.8667999999998,585.5336,1522.7008,1309.5336,0.2515151515151515,0.10843373493975904
replay,9,0.25,0.5,c09_replay_400_0003,1.1334559523809524,2.3553625,142,1978.5323999999998,1481.2004,1667.5336,1932.4633999999996,1394.3294,1659.7298,1733.5999999999997,858.8004000000001,1576.1672,1776.5999999999997,0.2515151515151515,0.13253012048192772
replay,9,0.25,1.0,c09_replay_400_0003,1.1334559523809524,2.3553625,142,2099.9287999999997,1463.9292,1463.9292,2024.6602000000003,1418.4593999999997,1418.4593999999997,2110.5962,968.6302000000001,968.6302000000001,1788.9295999999997,0.2515151515151515,0.1686746987951807
replay,9,0.25,0.0,c09_replay_400_0004,2.235661904761905,4.993055555555555,283,1364.3668,100.1336,1364.3668,1042.6336000000001,86.1336,1042.6336000000001,2324.1320000000005,46.0,2324.1320000000005,716.3668,0.24793388429752067,0.15555555555555556
replay,9,0.25,0.25,c09_replay_400_0004,2.235661904761905,4.993055555555555,283,1937.9004,312.6672,1060.4004,1525.4004,288.6672,1060.4004,1476.3658,123.66640000000001,1441.132,1005.1672,0.24793388429752067,0.14444444444444443
replay,9,0.25,0.5,c09_replay_400_0004,2.235661904761905,4.993055555555555,283,2118.434,339.6672,1002.934,1536.934,294.3968,847.934,1496.8994,251.6672,1436.6655999999998,815.934,0.24793388429752067,0.15555555555555556
replay,9,0.25,1.0,c09_replay_400_0004,2.235661904761905,4.993055555555555,283,1374.434,371.934,371.934,937.934,346.934,346.934,1201.8993999999998,265.934,265.934,807.934,0.24793388429752067,0.12222222222222222
replay,9,0.25,0.0,c09_replay_400_0005,1.2319910714285713,2.15,151,2529.9868,1641.9188,2529.9868,2529.9868,1641.9188,2529.9868,1850.7663999999997,993.0,1850.7663999999997,2053.0532000000003,0.23919308357348704,0.14457831325301204
replay,9,0.25,0.25,c09_replay_400_0005,1.2319910714285713,2.15,151,2899.4652000000006,1753.9451999999999,2881.6647999999996,2899.4652000000006,1753.9451999999999,2861.398,1934.9658000000004,981.8671999999999,2106.3005999999996,2318.264,0.2420749279538905,0.21428571428571427
replay,9,0.25,0.5,c09_replay_400_0005,1.2319910714285713,2.15,151,3064.718,1904.0644,2795.652,3064.718,1904.0644,2667.0132,1940.2986000000005,948.9328,1772.2006000000006,2521.2372000000005,0.2420749279538905,0.16666666666666666
replay,9,0.25,1.0,c09_replay_400_0005,1.2319910714285713,2.15,151,2963.0507999999995,2309.0516,2309.0516,2963.0507999999995,2032.3183999999999,2032.3183999999999,2014.2651999999998,981.134,981.134,2751.3176000000003,0.2420749279538905,0.11904761904761904
replay,9,0.25,0.0,c09_replay_400_0006,0.9046267857142857,2.075892857142857,87,704.6004,836.6000000000001,704.6004,704.6004,814.5336,704.6004,497.3332,427.4998,497.3332,687.9336,0.24482758620689654,0.028169014084507043
replay,9,0.25,0.25,c09_replay_400_0006,0.9046267857142857,2.075892857142857,87,808.8671999999999,738.8008,761.2672,808.8671999999999,738.8008,761.2672,547.1995999999999,518.5332,854.5332,808.8671999999999,0.24482758620689654,0.0
replay,9,0.25,0.5,c09_replay_400_0006,0.9046267857142857,2.075892857142857,87,648.3340000000001,578.2676000000001,591.8004000000001,648.3340000000001,578.2676000000001,591.8004000000001,390.83299999999997,358.0,413.2,637.5340000000001,0.24482758620689654,0.014084507042253521
replay,9,0.25,1.0,c09_replay_400_0006,0.9046267857142857,2.075892857142857,87,700.2004,658.7339999999999,658.7339999999999,700.2004,658.7339999999999,658.7339999999999,876.9996000000001,518.4,518.4,664.4668000000001,0.24482758620689654,0.028169014084507043
replay,9,0.25,0.0,c09_replay_400_0007,36.00892857142857,77.375,381,148.0,0.0,148.0,148.0,0.0,148.0,838.0,0.0,838.0,21.0,0.24808184143222506,0.041237113402061855
replay,9,0.25,0.25,c09_replay_400_0007,36.00892857142857,77.375,381,641.0,0.0,611.0,641.0,0.0,611.0,3830.0,0.0,2517.0,382.0,0.24808184143222506,0.10309278350515463
replay,9,0.25,0.5,c09_replay_400_0007,36.00892857142857,77.375,381,1055.0,108.0,1021.0,1055.0,108.0,1021.0,4945.0,108.0,1491.0,877.0,0.24808184143222506,0.09278350515463918
