iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.029603,0.970397,0.247446,99755,403139,-8.610136,0.735028,0.380858,0.380033,0.540785,806.838933,1447.268867,0.207173,216.665637
1,150,1228800,0.004988,0.995012,0.246411,98846,401142,-7.811039,0.655842,0.379125,0.380033,0.298775,818.247200,1449.213133,0.272225,214.937682
2,225,1843200,0.004483,0.995517,0.247304,99494,402315,-8.529770,0.688847,0.377805,0.380033,0.302208,832.665200,1445.512600,0.042576,213.301437
3,300,2457600,0.003606,0.996394,0.247484,99558,402281,-8.261278,0.650386,0.379290,0.380033,0.105093,841.293867,1467.783400,0.108612,219.608326
4,375,3072000,0.004387,0.995613,0.247144,98920,400252,-9.053241,0.668485,0.377145,0.380033,0.082096,834.874933,1461.823000,0.154977,214.271039
5,450,3686400,0.003340,0.996660,0.246988,98516,398870,-8.761506,0.657173,0.377475,0.380033,0.084004,855.148067,1483.692733,0.002265,216.254657
6,525,4300800,0.003113,0.996887,0.247029,98933,400491,-9.177349,0.477376,0.379703,0.380033,0.058416,863.297467,1483.030133,0.000881,218.655987
7,600,4915200,0.002906,0.997094,0.247052,98774,399810,-8.613531,0.590764,0.378465,0.380033,0.040416,845.383600,1503.379267,0.001782,215.588836
