iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.000000,0.000000,0.000000,0,455061,-8.815071,0.398389,0.386454,0.386454,0.262556,927.640933,4492.945133,nan,156.883988
1,150,1228800,0.000000,0.000000,0.000000,0,453995,-8.100756,0.398389,0.386454,0.386454,0.262556,927.669933,7496.059733,nan,158.437335
2,225,1843200,0.000000,0.000000,0.000000,0,455020,-6.974357,0.398389,0.386454,0.386454,0.262556,925.686200,5194.388567,nan,160.924451
3,300,2457600,0.000000,0.000000,0.000000,0,455576,-6.790603,0.398389,0.386454,0.386454,0.262556,926.068600,7177.955333,nan,161.728437
4,375,3072000,0.000000,0.000000,0.000000,0,454987,-7.018824,0.398389,0.386454,0.386454,0.262556,925.123933,5589.262567,nan,163.768301
5,450,3686400,0.000000,0.000000,0.000000,0,454314,-6.859042,0.398389,0.386454,0.386454,0.262556,926.638267,6068.534767,nan,158.882854
6,525,4300800,0.000000,0.000000,0.000000,0,456583,-7.117657,0.398389,0.386454,0.386454,0.262556,926.053333,8196.206800,nan,158.448236
7,600,4915200,0.000000,0.000000,0.000000,0,456614,-6.872989,0.398389,0.386454,0.386454,0.262556,926.889933,5488.613333,nan,160.310891
