iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.057189,0.942811,0.247158,111963,453001,-10.798301,0.816739,0.387561,0.386454,0.625039,1232.905600,2473.237200,0.313817,248.519199
1,150,1228800,0.006532,0.993468,0.247035,111297,450532,-8.954167,0.746994,0.385569,0.386454,0.486001,1236.852867,2413.495733,0.188132,245.728556
2,225,1843200,0.004972,0.995028,0.247302,111835,452220,-9.872185,0.677489,0.384757,0.386454,0.427049,1376.451600,2378.346067,0.219455,246.941447
3,300,2457600,0.004008,0.995992,0.247643,111270,449317,-10.654610,0.631674,0.382323,0.386454,0.300024,1467.762667,2394.222467,0.114241,250.507442
4,375,3072000,0.003746,0.996254,0.247799,111856,451399,-11.814434,0.620731,0.382175,0.386454,0.332407,1655.415467,2375.368600,0.105678,249.597066
5,450,3686400,0.004178,0.995822,0.248002,111786,450747,-13.149837,0.629269,0.383355,0.386454,0.298348,1756.122400,2375.451333,0.110799,253.282159
6,525,4300800,0.004048,0.995952,0.247959,112397,453288,-13.901912,0.630231,0.386823,0.386454,0.365092,1850.010200,2363.269067,0.112259,257.533851
7,600,4915200,0.002936,0.997064,0.248062,111721,450375,-13.920629,0.642617,0.383060,0.386454,0.175316,1857.691000,2353.035067,0.097995,259.705119
