cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1686.158800,1324.891600,1285.333600,0.247631,0.061224,0.246404,0.053299
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3130.470400,2171.528800,1896.992800,0.250422,0.112360,0.249721,0.058166
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2428.940400,2058.722400,1851.407200,0.242049,0.099757,0.244838,0.055422
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1683.575600,1333.784000,1322.403200,0.245092,0.056848,0.244641,0.043814
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1362.458400,1229.916400,1174.773600,0.249207,0.050891,0.246037,0.018041
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,303,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1722.800400,1059.495200,1059.860800,0.241265,0.075862,0.242525,0.057078
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1479.098800,1301.982800,1177.979600,0.249253,0.059952,0.248358,0.052885
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1489.554400,1419.945600,1348.460800,0.248820,0.059621,0.247811,0.035326
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0022,936.385600,926.554400,924.386400,910.366800,873.416000,0.249833,0.016043,0.250494,0.023684
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,304,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3348.858400,2651.694400,2308.195200,0.244850,0.139423,0.242210,0.101942
