iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.067048,0.932952,0.247177,111503,451105,-8.772827,0.718169,0.340711,0.348679,0.520169,1178.426800,2204.338733,0.410962,254.107723
1,150,1228800,0.023078,0.976922,0.246661,111187,450769,-8.132692,0.763480,0.341818,0.348679,0.478289,1220.873000,2163.708800,0.291684,247.357926
2,225,1843200,0.019706,0.980294,0.246634,111287,451223,-7.489710,0.728138,0.345581,0.348679,0.402043,1148.241667,2166.681133,0.240192,262.949662
3,300,2457600,0.016694,0.983306,0.246702,111600,452367,-7.745269,0.740032,0.347942,0.348679,0.375782,1165.169733,2170.195067,0.029887,286.243007
4,375,3072000,0.016389,0.983611,0.246487,111417,452020,-7.463156,0.643634,0.344400,0.348679,0.306324,1065.182067,2171.498800,0.211558,244.022997
5,450,3686400,0.015400,0.984600,0.246935,111496,451520,-7.612353,0.591074,0.348015,0.348679,0.320413,1130.296933,2169.879400,0.092125,246.361738
6,525,4300800,0.014067,0.985933,0.246835,111751,452736,-7.480536,0.682601,0.346982,0.348679,0.241976,1108.923800,2155.372067,0.169731,232.331205
7,600,4915200,0.013342,0.986658,0.246605,111156,450745,-7.776821,0.677730,0.347056,0.348679,0.203105,1119.709533,2184.982467,0.216189,228.838960
