iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.061015,0.938985,0.246822,111252,450738,-8.302106,0.793838,0.342998,0.348679,0.527309,1149.918000,2292.838133,0.205057,254.691113
1,150,1228800,0.021744,0.978256,0.246514,111754,453337,-7.421346,0.778206,0.347130,0.348679,0.444201,1051.214333,2158.136333,0.273288,250.845318
2,225,1843200,0.018644,0.981356,0.246519,111401,451897,-7.210084,0.747168,0.343810,0.348679,0.312296,1053.801267,2149.625467,0.003855,252.576793
3,300,2457600,0.018379,0.981621,0.246587,111213,451009,-7.125790,0.734934,0.349343,0.348679,0.304261,1027.235867,2131.842533,0.166294,252.692380
4,375,3072000,0.016501,0.983499,0.246488,111508,452387,-7.049436,0.734934,0.348089,0.348679,0.259267,1052.886533,2139.694133,0.236065,255.983183
5,450,3686400,0.015631,0.984369,0.246675,111255,451019,-7.440272,0.659719,0.346982,0.348679,0.237514,1039.760867,2136.769467,0.166820,256.049561
6,525,4300800,0.014783,0.985217,0.246368,111683,453317,-7.052983,0.656887,0.346171,0.348679,0.202564,1101.133200,2153.834867,0.000213,250.027418
7,600,4915200,0.014461,0.985539,0.246262,111130,451268,-7.382139,0.642728,0.347868,0.348679,0.174235,1045.728200,2133.207267,0.135505,250.501597
