decider_channel,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2804.973600,2673.686000,4018.612400,2621.206400,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2127.251200,1970.276800,2834.593600,1996.894800,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2796.824000,2532.076400,4054.931600,2533.840800,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,2245.733600,2192.954400,4109.313600,1938.243600,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1676.872400,1668.340800,2061.197200,1685.882800,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1302.699600,1303.472800,2021.848800,1316.495200,0.4031,0.0303
deadline_only,9,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1624.224400,1342.454000,2328.602400,1226.778800,0.4031,0.0303
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1664.868000,1634.015200,1974.308800,1660.290800,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2130.388000,2134.819200,2425.110000,2178.691200,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,997.215200,997.215200,1099.216000,991.862400,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2751.462000,2670.914000,4018.612400,2621.206400,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2278.512400,2089.706800,2834.593600,1996.894800,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2929.574400,2627.492000,4054.931600,2533.840800,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,2762.602400,2596.860400,4109.313600,1938.243600,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1694.862000,1672.843200,2061.197200,1685.882800,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1314.382000,1311.070000,2021.848800,1316.495200,0.3223,0.0277
deadline_only,9,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1747.606400,1598.503200,2328.602400,1226.778800,0.3223,0.0277
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1704.025600,1627.093200,1974.308800,1660.290800,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2144.274800,2133.137600,2425.110000,2178.691200,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,995.854400,1000.546400,1099.216000,991.862400,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2906.293200,2706.453600,4018.612400,2621.206400,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2281.752400,2043.677200,2834.593600,1996.894800,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,3096.722800,2686.896000,4054.931600,2533.840800,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2663.142400,2544.826000,4109.313600,1938.243600,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1750.791200,1661.586400,2061.197200,1685.882800,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1339.333200,1325.372800,2021.848800,1316.495200,0.3972,0.0213
deadline_only,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1748.052800,1361.290800,2328.602400,1226.778800,0.3972,0.0213
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,2113.920800,1674.713600,1637.463600,1974.308800,1660.290800,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,2468.501600,2136.259600,2135.330400,2425.110000,2178.691200,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,1216.011200,1039.014800,1022.221200,1099.216000,991.862400,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,5676.362400,2720.832000,2641.676800,4018.612400,2621.206400,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,4396.206800,2094.693200,2001.178000,2834.593600,1996.894800,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,2841.336000,2578.745200,4054.931600,2533.840800,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,2178.249600,2098.850400,4109.313600,1938.243600,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,1678.451600,1668.353200,2061.197200,1685.882800,0.4151,0.0322
deadline_only,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1301.034400,1301.034400,2021.848800,1316.495200,0.4151,0.0322
