source,campus,u,beta,rho,seed,iter,cum_overrides,n_reviews_iter,override_rate,sign_acc,pearson_r,m0_twt_mean,rule_twt,oracle_twt,note
live_m0,9,100,0.75,0.25,302,4,1637,6589,0.022765,0.752743,0.477056,1951.1721,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,302,5,1819,6590,0.027618,0.683882,0.422432,2207.9039,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,302,6,2135,6663,0.047426,0.656878,0.423846,2052.9108,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,302,7,2358,6633,0.033620,0.657722,0.452091,2140.6746,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,0,597,6678,0.089398,0.724051,0.413518,2262.6142,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,1,817,6615,0.033258,0.784304,0.453888,2054.6866,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,2,998,6619,0.027346,0.813165,0.477896,2059.1998,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,3,1213,6663,0.032268,0.823460,0.443823,2046.5441,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,4,1442,6604,0.034676,0.780253,0.493409,2049.5872,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,5,1686,6651,0.036686,0.696540,0.421476,2098.0744,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,6,1961,6657,0.041310,0.695359,0.337246,2119.8702,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.75,0.25,303,7,2246,6645,0.042889,0.756456,0.392998,2101.0208,3230.1952,1789.8032,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,0,611,6677,0.091508,0.690851,0.501891,2149.9982,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,1,816,6628,0.030929,0.700053,0.558602,2077.4204,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,2,957,6564,0.021481,0.781632,0.523215,1944.2083,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,3,1081,6571,0.018871,0.613343,0.452840,1980.2411,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,4,1227,6589,0.022158,0.617767,0.402587,1984.9675,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,5,1400,6671,0.025933,0.786763,0.452034,1857.0926,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,6,1504,6624,0.015700,0.758627,0.426917,1960.8491,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,301,7,1642,6617,0.020855,0.565741,0.322774,1997.6933,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,0,616,6664,0.092437,0.634224,0.509080,2149.5368,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,1,821,6638,0.030883,0.696337,0.484651,2083.0673,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,2,968,6623,0.022195,0.653513,0.472868,2200.3908,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,3,1148,6609,0.027236,0.626792,0.406323,2009.1512,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,4,1314,6643,0.024989,0.655105,0.446904,1887.5508,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,5,1458,6645,0.021670,0.764643,0.396864,2139.7400,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,6,1679,6636,0.033303,0.592462,0.445253,1895.5842,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,302,7,1800,6631,0.018248,0.731198,0.389307,2000.6390,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,0,561,6669,0.084121,0.712440,0.398565,2187.1137,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,1,740,6619,0.027043,0.842329,0.463871,1957.8297,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,2,863,6614,0.018597,0.731552,0.414865,1946.0332,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,3,991,6617,0.019344,0.717926,0.413075,1979.3733,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,4,1175,6672,0.027578,0.739869,0.440774,2081.2362,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,5,1393,6663,0.032718,0.702000,0.446441,2101.0209,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,6,1585,6649,0.028877,0.703946,0.398911,2025.5571,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,1.0,0.25,303,7,1767,6616,0.027509,0.685542,0.405565,2095.5614,3644.8307,1815.0187,"held-out M0-alone TWT*(w*,d*), n=10"
m1_full,9,100,1.0,0.25,301,0,8333,111759,0.074562,0.722463,0.556847,3037.0253,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,1,10992,112348,0.023668,0.712001,0.575246,2518.6881,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,2,12572,111846,0.014127,0.667388,0.485160,2449.1015,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,3,14044,111383,0.013216,0.650914,0.485768,2507.6564,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,4,15429,111721,0.012397,0.632636,0.369157,2452.9035,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,5,16455,111275,0.009220,0.611472,0.406819,2455.0538,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,6,17464,112007,0.009008,0.744589,0.309000,2468.5695,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_full,9,100,1.0,0.25,301,7,18362,111416,0.008060,0.750241,0.271384,2451.0760,,,"M1 fair-training in-loop true_twt (train-scale, ~20 insts); NOT held-out M0"
m1_fair,9,100,1.0,0.25,301,0,5572,111460,0.049991,0.718254,0.572371,2416.1757,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,1,6398,111848,0.007385,0.684464,0.468483,2423.7421,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,2,6947,111625,0.004918,0.651635,0.316972,2397.5653,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,3,7448,111513,0.004493,0.652477,0.204129,2361.8935,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,4,7938,112077,0.004372,0.773208,0.309040,2338.3806,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,5,8365,111664,0.003824,0.743867,0.343348,2335.3349,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,6,8747,112155,0.003406,0.584295,0.183509,2343.6665,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m1_fair,9,100,1.0,0.25,301,7,9090,111504,0.003076,0.665464,0.181312,2320.8175,,,M1 fair-training in-loop true_twt (train-scale); NOT held-out M0
m0_p2,,,,0.25,301,0,3,1813,0.001655,0.551523,0.241615,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,1,6,1815,0.001653,0.527559,0.306940,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,2,9,1814,0.001654,0.563506,0.238806,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,3,12,1815,0.001653,0.551866,0.192234,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,4,15,1815,0.001653,0.604930,0.298551,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,5,18,1815,0.001653,0.575830,0.166272,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,6,21,1815,0.001653,0.597740,0.210351,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
m0_p2,,,,0.25,301,7,24,1815,0.001653,0.611777,0.175983,,,,"pre-P1.5 weight-only-era M0 (dead cell, orr~0.002); accuracy only, no true_twt"
