family,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1636.229200,1632.326000,1974.308800,1660.290800,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2131.872400,2125.414400,2425.110000,2178.691200,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1017.177200,1000.308400,1099.216000,991.862400,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2920.254800,2612.666000,4018.612400,2621.206400,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2476.737200,2033.463200,2834.593600,1996.894800,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,3112.762400,2642.159600,4054.931600,2533.840800,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2543.850800,2486.926800,4109.313600,1938.243600,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1923.285200,1673.293200,2061.197200,1685.882800,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1302.622800,1302.398000,2021.848800,1316.495200,0.4056,0.0275
F-NL,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1890.822000,1475.116400,2328.602400,1226.778800,0.4056,0.0275
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,2113.920800,1681.808000,1630.959600,1974.308800,1660.290800,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,2468.501600,2126.305600,2152.174400,2425.110000,2178.691200,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,1216.011200,981.195200,980.976800,1099.216000,991.862400,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,5676.362400,2856.626000,2616.761200,4018.612400,2621.206400,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,4396.206800,2541.745200,2006.792000,2834.593600,1996.894800,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,2837.318400,2564.244400,4054.931600,2533.840800,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,2183.997600,2105.928000,4109.313600,1938.243600,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,1743.044400,1650.346000,2061.197200,1685.882800,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1360.329600,1301.443600,2021.848800,1316.495200,0.4312,0.0219
F-NL,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,1500.962000,1281.752400,2328.602400,1226.778800,0.4312,0.0219
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1644.047600,1614.148000,1974.308800,1660.290800,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2136.103200,2136.103200,2425.110000,2178.691200,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1040.326000,1009.137200,1099.216000,991.862400,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,2997.913200,2795.016800,4018.612400,2621.206400,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2256.460000,2040.570000,2834.593600,1996.894800,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,3115.884800,2726.807200,4054.931600,2533.840800,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,2343.769600,2240.326800,4109.313600,1938.243600,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,1758.764400,1660.415200,2061.197200,1685.882800,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1299.776800,1299.776800,2021.848800,1316.495200,0.4023,0.0218
F-NL,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,1789.257600,1403.908000,2328.602400,1226.778800,0.4023,0.0218
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,1456.324800,1330.867600,1342.150800,1447.266000,1383.323600,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,1974.968400,1747.777200,1752.841200,1976.265600,1801.181200,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,848.663600,724.296000,724.296000,795.040400,753.491200,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,3055.226800,1621.986800,1623.164800,2884.113200,1663.583600,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,1534.566800,1491.794800,1491.794800,1534.566800,1523.776800,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,2802.429200,1691.126000,1685.948000,2700.170400,1720.436000,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,4678.242400,2486.661200,2195.527200,4150.080000,1560.255600,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,1404.245600,1394.759600,1394.759600,1404.245600,1408.016400,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,1656.569200,1204.237200,1204.237200,1650.754000,1205.410800,0.2729,0.0079
F-LIN,9,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,1196.608000,1040.804000,1040.804000,1166.246400,1041.128800,0.2729,0.0079
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,1456.324800,1323.058800,1351.458000,1447.266000,1383.323600,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,1974.968400,1760.309200,1760.814000,1976.265600,1801.181200,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,848.663600,723.320800,736.942800,795.040400,753.491200,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,3055.226800,1620.314800,1628.665200,2884.113200,1663.583600,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,1534.566800,1492.060800,1491.222000,1534.566800,1523.776800,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,2802.429200,1683.941600,1690.079200,2700.170400,1720.436000,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,4678.242400,1600.766400,1577.601600,4150.080000,1560.255600,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,1404.245600,1396.921200,1396.921200,1404.245600,1408.016400,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,1656.569200,1205.891600,1205.891600,1650.754000,1205.410800,0.3614,0.0108
F-LIN,9,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,1196.608000,1034.686400,1036.913200,1166.246400,1041.128800,0.3614,0.0108
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,1456.324800,1325.572400,1333.462800,1447.266000,1383.323600,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,1974.968400,1777.934800,1753.895600,1976.265600,1801.181200,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,848.663600,712.696000,712.696000,795.040400,753.491200,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,3055.226800,1634.049600,1629.896000,2884.113200,1663.583600,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,1534.566800,1488.523600,1488.523600,1534.566800,1523.776800,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,2802.429200,1610.056000,1610.056000,2700.170400,1720.436000,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,4678.242400,1559.914800,1554.120400,4150.080000,1560.255600,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,1404.245600,1397.003200,1397.003200,1404.245600,1408.016400,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,1656.569200,1207.102000,1207.102000,1650.754000,1205.410800,0.2549,0.0230
F-LIN,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,1196.608000,1038.796400,1038.796400,1166.246400,1041.128800,0.2549,0.0230
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,1456.324800,1334.208400,1334.020800,1447.266000,1383.323600,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,1974.968400,1754.006000,1757.416400,1976.265600,1801.181200,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,848.663600,782.962800,773.826800,795.040400,753.491200,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,3055.226800,1622.403600,1622.655600,2884.113200,1663.583600,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,1534.566800,1508.430000,1508.430000,1534.566800,1523.776800,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,2802.429200,1708.566400,1688.206400,2700.170400,1720.436000,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,4678.242400,1847.873600,1808.699600,4150.080000,1560.255600,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,1404.245600,1397.630800,1397.630800,1404.245600,1408.016400,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,1656.569200,1203.692400,1203.692400,1650.754000,1205.410800,0.2431,0.0041
F-LIN,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,1196.608000,1039.258400,1039.258400,1166.246400,1041.128800,0.2431,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,1456.324800,1348.153200,1343.230000,1447.266000,1383.323600,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,1974.968400,1753.704400,1773.063600,1976.265600,1801.181200,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,848.663600,743.738000,743.738000,795.040400,753.491200,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,3055.226800,1623.313200,1623.313200,2884.113200,1663.583600,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,1534.566800,1489.826800,1489.826800,1534.566800,1523.776800,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,2802.429200,1812.978800,1704.785600,2700.170400,1720.436000,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,4678.242400,1685.322000,1664.960000,4150.080000,1560.255600,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,1404.245600,1396.156000,1396.156000,1404.245600,1408.016400,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,1656.569200,1205.374800,1205.374800,1650.754000,1205.410800,0.2572,0.0041
F-LIN,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,1196.608000,1046.644000,1042.000800,1166.246400,1041.128800,0.2572,0.0041
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0020,1983,2177.667200,1502.645600,1471.321600,2154.681600,1504.394400,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0021,1983,1754.070800,1714.508400,1714.508400,1719.228400,1724.693600,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0022,1983,1255.530000,1204.615200,1204.615200,1245.562400,1218.304800,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0023,1983,1251.113600,1207.516400,1190.050000,1242.408800,1185.189600,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0024,1983,2040.184000,1455.388800,1449.343200,1727.396400,1434.189200,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0025,1983,1653.087600,1571.213200,1571.213200,1621.426000,1550.068000,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0026,1983,1769.389600,1308.895600,1299.643200,1655.275200,1308.659600,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0027,1983,1752.833600,916.214800,833.194800,1041.454800,803.994000,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0028,1983,804.369600,692.674800,708.535600,778.310000,730.334800,0.2913,0.0145
F-NL,9,90,1.0,0.25,301,c09_storm2_w80_u90_0029,1983,3061.778400,2862.777600,2877.221600,3003.177600,2856.388000,0.2913,0.0145
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0020,1983,2177.667200,1459.928800,1463.176000,2154.681600,1504.394400,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0021,1983,1754.070800,1711.283200,1711.391200,1719.228400,1724.693600,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0022,1983,1255.530000,1202.207600,1201.691600,1245.562400,1218.304800,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0023,1983,1251.113600,1191.750000,1185.377200,1242.408800,1185.189600,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0024,1983,2040.184000,1425.160400,1432.006800,1727.396400,1434.189200,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0025,1983,1653.087600,1564.354400,1564.370400,1621.426000,1550.068000,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0026,1983,1769.389600,1286.770800,1289.735200,1655.275200,1308.659600,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0027,1983,1752.833600,909.309600,838.866000,1041.454800,803.994000,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0028,1983,804.369600,714.086000,721.081200,778.310000,730.334800,0.2837,0.0138
F-NL,9,90,1.0,0.25,302,c09_storm2_w80_u90_0029,1983,3061.778400,2795.002400,2804.040000,3003.177600,2856.388000,0.2837,0.0138
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0020,1983,2177.667200,1442.505200,1463.216000,2154.681600,1504.394400,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0021,1983,1754.070800,1712.989600,1712.989600,1719.228400,1724.693600,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0022,1983,1255.530000,1207.906000,1203.698800,1245.562400,1218.304800,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0023,1983,1251.113600,1205.097200,1187.263200,1242.408800,1185.189600,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0024,1983,2040.184000,1448.921600,1426.548000,1727.396400,1434.189200,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0025,1983,1653.087600,1563.323600,1563.323600,1621.426000,1550.068000,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0026,1983,1769.389600,1282.759600,1274.260000,1655.275200,1308.659600,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0027,1983,1752.833600,906.013200,820.642400,1041.454800,803.994000,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0028,1983,804.369600,697.722000,697.722000,778.310000,730.334800,0.2847,0.0097
F-NL,9,90,1.0,0.25,303,c09_storm2_w80_u90_0029,1983,3061.778400,2793.178000,2772.647600,3003.177600,2856.388000,0.2847,0.0097
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0020,1983,2177.667200,1535.984800,1474.552000,2154.681600,1504.394400,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0021,1983,1754.070800,1718.568800,1718.568800,1719.228400,1724.693600,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0022,1983,1255.530000,1208.007200,1208.007200,1245.562400,1218.304800,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0023,1983,1251.113600,1179.677200,1206.196400,1242.408800,1185.189600,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0024,1983,2040.184000,1435.210400,1432.535200,1727.396400,1434.189200,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0025,1983,1653.087600,1568.711200,1568.711200,1621.426000,1550.068000,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0026,1983,1769.389600,1286.551600,1281.996800,1655.275200,1308.659600,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0027,1983,1752.833600,945.555200,868.638400,1041.454800,803.994000,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0028,1983,804.369600,682.814000,711.690800,778.310000,730.334800,0.2891,0.0140
F-NL,9,90,1.0,0.25,304,c09_storm2_w80_u90_0029,1983,3061.778400,2776.705200,2758.898000,3003.177600,2856.388000,0.2891,0.0140
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0020,1983,2177.667200,1539.472800,1455.083200,2154.681600,1504.394400,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0021,1983,1754.070800,1711.612800,1715.692000,1719.228400,1724.693600,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0022,1983,1255.530000,1203.709200,1203.709200,1245.562400,1218.304800,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0023,1983,1251.113600,1215.494800,1201.997200,1242.408800,1185.189600,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0024,1983,2040.184000,1428.791200,1425.202000,1727.396400,1434.189200,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0025,1983,1653.087600,1572.779600,1574.198800,1621.426000,1550.068000,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0026,1983,1769.389600,1280.455600,1278.866800,1655.275200,1308.659600,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0027,1983,1752.833600,938.076400,804.470400,1041.454800,803.994000,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0028,1983,804.369600,704.809200,709.621200,778.310000,730.334800,0.2317,0.0123
F-NL,9,90,1.0,0.25,305,c09_storm2_w80_u90_0029,1983,3061.778400,2807.905200,2852.839600,3003.177600,2856.388000,0.2317,0.0123
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0020,1983,1141.454000,1075.600400,1075.600400,1103.657600,1114.280000,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0021,1983,1207.462800,1207.428400,1207.428400,1207.462800,1216.278800,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0022,1983,1082.287600,1083.594800,1083.594800,1082.718000,1095.735600,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0023,1983,905.724000,894.642400,894.642400,905.724000,895.960000,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0024,1983,1159.384400,1086.682000,1086.506000,1162.269200,1086.038800,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0025,1983,1201.599600,1224.163600,1220.305200,1201.599600,1166.440400,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0026,1983,803.128800,804.572000,804.572000,803.128800,820.694800,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0027,1983,416.175600,385.087600,385.087600,416.175600,384.948000,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0028,1983,690.128800,691.152000,691.152000,697.124000,722.773600,0.1203,0.0051
F-LIN,9,90,1.0,0.25,301,c09_storm2_w80_u90_0029,1983,2250.680400,2196.639600,2231.121600,2259.718000,2285.183600,0.1203,0.0051
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0020,1983,1141.454000,1071.918000,1071.918000,1103.657600,1114.280000,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0021,1983,1207.462800,1207.769200,1207.769200,1207.462800,1216.278800,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0022,1983,1082.287600,1095.272600,1095.272600,1082.718000,1095.735600,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0023,1983,905.724000,901.271200,901.271200,905.724000,895.960000,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0024,1983,1159.384400,1087.753200,1087.770800,1162.269200,1086.038800,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0025,1983,1201.599600,1175.342000,1175.342000,1201.599600,1166.440400,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0026,1983,803.128800,800.920000,800.920000,803.128800,820.694800,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0027,1983,416.175600,389.779600,389.779600,416.175600,384.948000,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0028,1983,690.128800,692.729600,685.948800,697.124000,722.773600,0.1070,0.0050
F-LIN,9,90,1.0,0.25,302,c09_storm2_w80_u90_0029,1983,2250.680400,2129.543200,2139.555600,2259.718000,2285.183600,0.1070,0.0050
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0020,1983,1141.454000,1074.147600,1069.741600,1103.657600,1114.280000,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0021,1983,1207.462800,1207.718800,1207.718800,1207.462800,1216.278800,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0022,1983,1082.287600,1081.562400,1081.562400,1082.718000,1095.735600,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0023,1983,905.724000,896.964800,896.964800,905.724000,895.960000,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0024,1983,1159.384400,1088.224400,1088.224400,1162.269200,1086.038800,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0025,1983,1201.599600,1203.334000,1203.334000,1201.599600,1166.440400,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0026,1983,803.128800,795.393200,795.393200,803.128800,820.694800,0.1873,0.0034
F-LIN,9,90,1.0,0.25,303,c09_storm2_w80_u90_0027,1983,416.175600,385.269600,385.269600,416.175600,384.948000,0.1873,0.0034
