part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,302,c10_storm2_w80_u130_0026,12155,32896.781000,23922.302600,1192.299600,5934.279200,4860.925000,0.2496,0.0979,0.2500,0.1120
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,302,c10_storm2_w80_u130_0027,12155,41327.907800,27990.970200,1994.461600,10371.145200,9807.873400,0.2498,0.1064,0.2499,0.1278
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,302,c10_storm2_w80_u130_0028,12155,30668.260200,19788.945800,1874.577200,10707.477200,7037.600400,0.2498,0.0889,0.2496,0.1003
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,302,c10_storm2_w80_u130_0029,12155,23249.527800,15347.418400,2550.012200,8381.284000,7439.492000,0.2482,0.0735,0.2497,0.0897
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0020,12155,59216.607600,14525.089000,1626.832000,27596.670400,5085.117600,0.2491,0.0679,0.2498,0.1844
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0021,12155,53930.710400,16118.685200,4025.761600,14940.696200,6317.213400,0.2492,0.0926,0.2499,0.1994
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0022,12155,66426.165000,16016.732600,2249.058800,22072.923200,6123.073400,0.2497,0.0743,0.2488,0.2045
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0023,12155,76596.978200,18654.582000,2232.731200,30773.100400,7764.268400,0.2486,0.0905,0.2483,0.2143
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0024,12155,63306.870000,14913.344400,2035.008400,25572.571200,4316.007600,0.2489,0.0812,0.2496,0.2031
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0025,12155,69709.871600,19635.008000,3687.089200,29710.867200,6726.791800,0.2479,0.0835,0.2487,0.1825
map,stability,stability,1,0.1,global,10,storm2,130,0.5,0.25,302,c10_storm2_w80_u130_0026,12155,61704.813400,18359.866000,2480.569600,18192.180000,6125.566200,0.2499,0.0901,0.2500,0.1893
