part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2822.065200,2621.206400,4018.612400,2685.714000,0.2497,0.0679,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2181.403200,1996.894800,2834.593600,2024.340000,0.2505,0.0278,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2943.910000,2533.840800,4054.931600,2568.256000,0.2501,0.0427,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,2376.272000,1938.243600,4109.313600,2289.852000,0.2460,0.0526,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1851.201200,1685.882800,2061.197200,1673.368400,0.2446,0.0155,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1309.272400,1316.495200,2021.848800,1306.246800,0.2467,0.0103,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1635.014000,1226.778800,2328.602400,1284.388000,0.2493,0.0400,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0020,2253,2113.920800,1670.180000,1660.290800,1974.308800,1643.466000,0.2490,0.0240,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0021,2253,2468.501600,2138.969600,2178.691200,2425.110000,2138.969600,0.2463,0.0000,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0022,2253,1216.011200,1091.884800,991.862400,1099.216000,1078.167600,0.2495,0.0132,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0023,2253,5676.362400,2722.962000,2621.206400,4018.612400,2590.514400,0.2496,0.0445,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0024,2253,4396.206800,2155.894800,1996.894800,2834.593600,2006.168000,0.2502,0.0376,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0025,2253,6411.756400,2927.075600,2533.840800,4054.931600,2651.321600,0.2503,0.0449,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0026,2253,5006.202000,2370.016400,1938.243600,4109.313600,2257.358400,0.2462,0.0692,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0027,2253,2535.368000,1684.542800,1685.882800,2061.197200,1657.582800,0.2457,0.0103,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0028,2253,2083.722400,1303.934800,1316.495200,2021.848800,1303.934800,0.2462,0.0026,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,307,c09_storm2_w80_u100_0029,2253,4540.255600,1643.560800,1226.778800,2328.602400,1404.263600,0.2490,0.0312,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1685.812000,1660.290800,1974.308800,1639.239200,0.2488,0.0192,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2127.064800,2178.691200,2425.110000,2140.574400,0.2448,0.0138,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,973.572400,991.862400,1099.216000,977.068400,0.2493,0.0106,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2775.650800,2621.206400,4018.612400,2608.315200,0.2497,0.0492,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2358.705600,1996.894800,2834.593600,1994.484000,0.2505,0.0455,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2979.735200,2533.840800,4054.931600,2520.513600,0.2501,0.0404,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,2086.948000,1938.243600,4109.313600,2038.843600,0.2431,0.0315,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1799.105600,1685.882800,2061.197200,1676.946000,0.2438,0.0182,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1302.152400,1316.495200,2021.848800,1302.480800,0.2454,0.0052,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1888.186400,1226.778800,2328.602400,1415.808400,0.2492,0.0401,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0020,2253,2113.920800,1649.296800,1660.290800,1974.308800,1657.900400,0.2469,0.0194,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0021,2253,2468.501600,2146.678400,2178.691200,2425.110000,2149.118400,0.2465,0.0110,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0022,2253,1216.011200,1040.229200,991.862400,1099.216000,1022.500800,0.2492,0.0106,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0023,2253,5676.362400,2640.014400,2621.206400,4018.612400,2553.854000,0.2503,0.0397,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0024,2253,4396.206800,2001.894400,1996.894800,2834.593600,1968.075200,0.2502,0.0302,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0025,2253,6411.756400,2585.527200,2533.840800,4054.931600,2540.022400,0.2499,0.0405,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0026,2253,5006.202000,2661.724000,1938.243600,4109.313600,2451.121200,0.2450,0.0601,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0027,2253,2535.368000,1674.018800,1685.882800,2061.197200,1675.493200,0.2432,0.0078,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0028,2253,2083.722400,1307.692400,1316.495200,2021.848800,1307.692400,0.2448,0.0026,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,306,c09_storm2_w80_u100_0029,2253,4540.255600,1315.226800,1226.778800,2328.602400,1243.241200,0.2496,0.0200,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1636.229200,1660.290800,1974.308800,1632.326000,0.2488,0.0240,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2131.872400,2178.691200,2425.110000,2125.414400,0.2468,0.0164,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1017.177200,991.862400,1099.216000,1000.308400,0.2498,0.0027,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2920.254800,2621.206400,4018.612400,2612.666000,0.2504,0.0724,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2476.737200,1996.894800,2834.593600,2033.463200,0.2502,0.0530,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,3112.762400,2533.840800,4054.931600,2642.159600,0.2503,0.0652,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2543.850800,1938.243600,4109.313600,2486.926800,0.2459,0.0502,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1923.285200,1685.882800,2061.197200,1673.293200,0.2427,0.0392,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1302.622800,1316.495200,2021.848800,1302.398000,0.2468,0.0026,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1890.822000,1226.778800,2328.602400,1475.116400,0.2496,0.0533,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1644.047600,1660.290800,1974.308800,1614.148000,0.2488,0.0168,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2136.103200,2178.691200,2425.110000,2136.103200,0.2465,0.0027,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1040.326000,991.862400,1099.216000,1009.137200,0.2487,0.0107,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,2997.913200,2621.206400,4018.612400,2795.016800,0.2500,0.0654,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2256.460000,1996.894800,2834.593600,2040.570000,0.2502,0.0403,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,3115.884800,2533.840800,4054.931600,2726.807200,0.2501,0.0721,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,2343.769600,1938.243600,4109.313600,2240.326800,0.2457,0.0598,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,1758.764400,1685.882800,2061.197200,1660.415200,0.2449,0.0207,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1299.776800,1316.495200,2021.848800,1299.776800,0.2460,0.0026,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,1789.257600,1226.778800,2328.602400,1403.908000,0.2494,0.0444,0.2490,0.1091
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0020,2253,2113.920800,1697.858800,1660.290800,1974.308800,1646.306000,0.2488,0.0144,0.2494,0.0815
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0021,2253,2468.501600,2136.596000,2178.691200,2425.110000,2136.596000,0.2454,0.0000,0.2495,0.0757
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0022,2253,1216.011200,992.486800,991.862400,1099.216000,990.366000,0.2492,0.0027,0.2503,0.0267
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0023,2253,5676.362400,2934.322400,2621.206400,4018.612400,2854.139200,0.2497,0.0656,0.2496,0.1415
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0024,2253,4396.206800,2263.425600,1996.894800,2834.593600,2016.521200,0.2500,0.0455,0.2502,0.1162
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0025,2253,6411.756400,2951.308000,2533.840800,4054.931600,2637.730400,0.2501,0.0674,0.2503,0.1551
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0026,2253,5006.202000,2585.063200,1938.243600,4109.313600,2257.660000,0.2454,0.0743,0.2497,0.1297
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0027,2253,2535.368000,1755.971600,1685.882800,2061.197200,1684.581200,0.2459,0.0180,0.2476,0.0844
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0028,2253,2083.722400,1302.925200,1316.495200,2021.848800,1302.925200,0.2471,0.0000,0.2498,0.0533
gate,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,310,c09_storm2_w80_u100_0029,2253,4540.255600,1763.604000,1226.778800,2328.602400,1447.618800,0.2490,0.0468,0.2490,0.1091
