campus,track,size,level,rule,beta,inst_id,twt_rule,twt_oracle
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0016,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0017,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0017,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0017,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0017,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0018,88.7032,88.7032
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0018,88.7032,88.7032
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0018,88.7032,88.7032
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0018,88.7032,88.7032
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0019,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0019,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0019,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0019,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0020,182.1112,182.1112
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0020,182.1112,182.1112
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0020,24.8736,24.8736
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0020,24.8736,24.8736
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0021,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0021,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0021,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0021,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0022,265.4072,265.4072
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0022,265.4072,265.4072
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0022,265.4072,265.4072
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0022,265.4072,265.4072
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0023,74.1940,74.1940
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0023,74.1940,74.1940
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0023,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0023,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0024,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0024,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0024,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0024,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0025,63.5584,63.5584
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0025,63.5584,63.5584
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0025,63.5584,63.5584
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0025,63.5584,63.5584
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0026,357.8256,357.8256
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0026,357.8256,357.8256
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0026,118.8256,118.8256
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0026,118.8256,118.8256
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0027,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0027,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0027,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0027,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0028,71.4424,71.4424
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0028,71.4424,71.4424
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0028,71.4424,71.4424
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0028,71.4424,71.4424
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0029,193.3856,193.3856
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0029,193.3856,193.3856
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0029,82.3856,82.3856
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0029,82.3856,82.3856
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0000,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0000,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0000,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0000,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0001,344.4064,344.4064
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0001,344.4064,344.4064
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0001,309.6616,309.6616
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0001,309.6616,309.6616
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0002,332.3472,332.3472
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0002,332.3472,332.3472
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0002,332.3472,332.3472
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0002,332.3472,332.3472
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0003,82.9048,82.9048
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0003,82.9048,82.9048
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0003,82.9048,82.9048
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0003,82.9048,82.9048
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0004,22.2808,22.2808
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0004,22.2808,22.2808
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0004,22.2808,22.2808
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0004,22.2808,22.2808
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0005,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0005,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0005,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0005,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0006,0.0000,0.0000
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0006,0.0000,0.0000
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0006,0.0000,0.0000
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0006,0.0000,0.0000
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0007,141.1432,141.1432
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0007,141.1432,141.1432
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0007,109.0784,109.0784
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0007,109.0784,109.0784
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0008,267.8152,267.8152
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0008,267.8152,267.8152
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0008,347.1864,347.1864
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0008,347.1864,347.1864
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0009,15.5976,15.5976
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0009,15.5976,15.5976
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0009,15.5976,15.5976
9,storm,150,a300_c80,edd,1.0,c09_storm_150_a300_c80_0009,15.5976,15.5976
9,storm,150,a300_c80,atc,0.5,c09_storm_150_a300_c80_0010,130.3936,130.3936
9,storm,150,a300_c80,edd,0.5,c09_storm_150_a300_c80_0010,130.3936,130.3936
9,storm,150,a300_c80,atc,1.0,c09_storm_150_a300_c80_0010,33.4992,33.4992
