iter,updates,env_steps_cum,override_rate,confirmation_rate,review_fraction,n_reviews,n_reviewable,mean_return,hat_s_sign_acc,hat_s_exact_acc,hat_s_zero_baseline,hat_s_pearson_r,obs_twt,true_twt,est_loss,seconds
0,75,614400,0.024671,0.975329,0.247422,99511,402192,-7.365091,0.746739,0.379455,0.380033,0.461901,779.832733,1443.213533,0.011980,209.676236
1,150,1228800,0.006401,0.993599,0.246510,98896,401185,-7.678966,0.677668,0.376815,0.380033,0.255160,809.602333,1451.192000,0.005797,212.610344
2,225,1843200,0.004682,0.995318,0.247019,99527,402912,-7.825946,0.671546,0.378053,0.380033,0.104172,798.874600,1447.543800,0.072142,212.841137
3,300,2457600,0.004709,0.995291,0.247565,99167,400569,-8.011909,0.599015,0.378053,0.380033,0.075880,875.480067,1459.030667,0.100302,219.735910
4,375,3072000,0.003592,0.996408,0.247493,98830,399325,-8.325762,0.455417,0.379455,0.380033,0.097634,880.672533,1457.021600,0.079392,212.615814
5,450,3686400,0.003494,0.996506,0.247416,99017,400205,-9.161798,0.692308,0.379868,0.380033,0.083798,855.053400,1458.101400,0.000119,214.059794
6,525,4300800,0.002971,0.997029,0.247506,98943,399760,-8.875568,0.607666,0.378713,0.380033,0.016530,827.789467,1448.124467,0.292090,215.445385
7,600,4915200,0.002794,0.997206,0.247401,98782,399279,-8.936318,0.584509,0.377310,0.380033,-0.003182,834.496400,1448.318267,0.078079,215.964586
